Species,Environment,Fraction,Biomass_rate_h-1,Max_growth_h-1
Sinorhizobium meliloti,Bulk soil,0.0,0.0,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.05,0.0810692096415036,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.1,0.1621384192830072,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.15,0.2432076289245108,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.2,0.3242768385660144,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.25,0.405346048207518,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.3,0.4864152578490216,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.35,0.5674844674905252,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.4,0.6485536771320288,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.45,0.7296228867735325,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.5,0.810692096415036,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.55,0.8917613060565397,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.6,0.9728305156980432,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.65,1.0538997253395468,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.7,1.1349689349810503,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.75,1.216038144622554,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.8,1.2971073542640577,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.85,1.3781765639055612,1.621384192830072
Sinorhizobium meliloti,Bulk soil,0.9,1.459245773547065,1.621384192830072
Sinorhizobium meliloti,Rhizosphere,0.0,0.0,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.05,0.08230966014814906,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.1,0.1646193202962981,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.15,0.24692898044444717,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.2,0.3292386405925962,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.25,0.4115483007407453,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.3,0.49385796088889433,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.35,0.5761676210370433,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.4,0.6584772811851924,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.45,0.7407869413333416,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.5,0.8230966014814906,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.55,0.9054062616296397,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.6,0.9877159217777887,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.65,1.0700255819259377,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.7,1.1523352420740867,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.75,1.2346449022222359,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.8,1.3169545623703849,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.85,1.3992642225185339,1.646193202962981
Sinorhizobium meliloti,Rhizosphere,0.9,1.481573882666683,1.646193202962981
Sinorhizobium meliloti,Nodule,0.0,0.0,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.05,0.007783849850685122,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.1,0.015567699701370244,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.15,0.023351549552055366,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.2,0.031135399402740488,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.25,0.03891924925342561,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.3,0.04670309910411073,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.35,0.054486948954795854,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.4,0.062270798805480976,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.45,0.0700546486561661,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.5,0.07783849850685122,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.55,0.08562234835753635,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.6,0.09340619820822146,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.65,0.10119004805890659,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.7,0.10897389790959171,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.75,0.11675774776027684,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.8,0.12454159761096195,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.85,0.13232544746164707,0.15567699701370244
Sinorhizobium meliloti,Nodule,0.9,0.1401092973123322,0.15567699701370244
