current_id,name,formula,compartment,charge,suggested_new_id
cpd02096_c0,L-3-Amino-isobutyrate,C4H9NO2,c0,0,
cpd00693_c0,D-Lactaldehyde,C3H6O2,c0,0,
cpd00066_e0,L-Phenylalanine,C9H11NO2,e0,0,
cpd11512_c0,12-methyl-3-oxo-tetra-decanoyl-ACP,C26H47N2O9PRS,c0,-1,
cpd15422_c0,"CDP-1,2-ditetradec-7-enoylglycerol",C40H67N3O15P2,c0,-2,
cpd00226_c0,HYXN,C5H4N4O,c0,0,
cpd15796_c0,Isotetradecanoylcardiolipin (B. subtilis),C65H124O17P2,c0,-2,
cpd00001_c0,H2O,H2O,c0,0,
cpd03586_c0,kdo2-lipid iva,C84H148N2O37P2,c0,-6,
cpd00557_c0,Siroheme,C42H36FeN4O16,c0,-8,
cpd11640_c0,H2,H2,c0,0,
cpd08287_c0,4--cytidine5-diphospho-2-C-methyl-D-erythritol,C14H23N3O14P2,c0,-2,
cpd11544_c0,15-methyl-hexa-decanoyl-ACP,C28H53N2O8PRS,c0,-2,
cpd01262_c0,Amylotriose,C18H32O16,c0,0,
cpd00751_e0,L-Fucose,C6H12O5,e0,0,
cpd11537_c0,13-methyl-3-oxo-tetra-decanoyl-ACP,C26H47N2O9PRS,c0,-1,
cpd12237_c0,Peptide-L-methionine,C6H10N2O2R2S,c0,0,
cpd02074_c0,2-Oxo-6-aminocaproate,C6H11NO3,c0,0,
cpd01974_c0,4-Hydroxy-L-glutamate,C5H8NO5,c0,-1,
cpd00007_e0,O2,O2,e0,0,
cpd00241_c0,dGTP,C10H13N5O13P3,c0,-3,
cpd00724_c0,alpha-D-Galactose,C6H12O6,c0,0,
cpd05262_e0,galacturonate,C6H9O7,e0,-1,
cpd15500_c0,Menaquinone 8,C51H72O2,c0,0,
cpd04097_c0,Pb,Pb,c0,2,
cpd15529_c0,phosphatidylethanolamine ditetradecanoyl,C33H66NO8P,c0,0,
cpd00322_c0,L-Isoleucine,C6H13NO2,c0,0,
cpd03426_c0,Sirohydrochlorin,C42H38N4O16,c0,-8,
cpd00447_c0,Betaine aldehyde,C5H12NO,c0,1,
cpd00909_c0,1-Aminocyclopropane-1-carboxylate,C4H7NO2,c0,0,
cpd02738_c0,5-Methyltetrahydropteroyltri-L-glutamate,C30H35N9O12,c0,-4,
cpd00077_c0,Catechol,C6H6O2,c0,0,
cpd01042_c0,p-Cresol,C7H8O,c0,0,
cpd11543_c0,15-methyl-trans-hexa-dec-2-enoyl-ACP,C28H51N2O8PRS,c0,-1,
cpd01567_c0,(R)-Allantoin,C4H6N4O3,c0,0,
cpd15421_c0,"CDP-1,2-dioctadecanoylglycerol",C48H87N3O15P2,c0,-2,
cpd00091_c0,UMP,C9H11N2O9P,c0,-2,
cpd15698_c0,Diisopentadecanoylphosphatidylethanolamine,C35H70NO8P,c0,0,
cpd15541_c0,Phosphatidylglycerol dioctadec-11-enoyl,C42H78O10P,c0,-1,
cpd01716_c0,3-Dehydroshikimate,C7H7O5,c0,-1,
cpd01914_c0,L-Methionine S-oxide,C5H11NO3S,c0,0,
cpd02210_c0,Indoleglycerol phosphate,C11H12NO6P,c0,-2,
cpd01693_c0,6-Phosphosucrose,C12H21O14P,c0,-2,
cpd01919_c0,maltose-6-phosphate,C12H21O14P,c0,-2,
cpd00205_c0,K+,K,c0,1,
cpd15315_c0,1-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl,C19H38NO7P,c0,0,
cpd02124_c0,2-Methylacetoacetyl-CoA,C26H38N7O18P3S,c0,-4,
cpd00066_c0,L-Phenylalanine,C9H11NO2,c0,0,
cpd11472_c0,Hexanoyl-ACP,C17H31N2O8PRS,c0,-2,
cpd12543_c0,Carboxybiotin-carboxyl-carrier protein,C18H26N5O6R2S,c0,-1,
cpd15703_c0,"1,2-Diisotetradecanoyl-sn-glycerol",C31H60O5,c0,0,
cpd00114_c0,IMP,C10H11N4O8P,c0,-2,
cpd00774_c0,UroporphyrinogenIII,C40H36N4O16,c0,-8,
cpd11583_e0,Ala-Leu,C9H18N2O3,e0,0,
cpd00938_c0,4-Carboxymuconolactone,C7H4O6,c0,-2,
cpd16080_c0,phosphatidate (Saureus),X,c0,0,
cpd02968_c0,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine,C41H61N9O28P2,c0,-4,
cpd02967_c0,"N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D- glucosaminyldiphosphoundecaprenol",C71H116N2O17P2,c0,-2,
cpd01298_c0,Aminoacetone,C3H8NO,c0,1,
cpd00428_c0,2-Oxopropanal,C3H4O2,c0,0,
cpd03002_c0,Lipid A disaccharide,C68H127N2O20P,c0,-2,
cpd00089_c0,Glucose-1-phosphate,C6H11O9P,c0,-2,
cpd00367_c0,Cytidine,C9H13N3O5,c0,0,
cpd15499_c0,Menaquinol 8,C51H74O2,c0,0,
cpd00083_c0,GDP-mannose,C16H23N5O16P2,c0,-2,
cpd00082_c0,D-Fructose,C6H12O6,c0,0,
cpd15604_e0,Gly-Leu,C8H16N2O3,e0,0,
cpd00478_c0,Pyridoxine phosphate,C8H10NO6P,c0,-2,
cpd00046_c0,CMP,C9H12N3O8P,c0,-2,
cpd00300_c0,Urate,C5H4N4O3,c0,0,
cpd00156_c0,L-Valine,C5H11NO2,c0,0,
