current_id,name,reaction_string,subsystem,lower_bound,upper_bound,suggested_new_id
rxn08094,2-Oxogluterate dehydrogenase,cpd00003_c0 + cpd00010_c0 + cpd00024_c0 --> cpd00004_c0 + cpd00011_c0 + cpd00078_c0,,0.0,1000.0,
rxn01637,N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase,cpd00023_c0 + cpd00918_c0 --> cpd00024_c0 + cpd00342_c0,,0.0,1000.0,
rxn01644,L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate),cpd00020_c0 + cpd00346_c0 --> 2.0 cpd00001_c0 + cpd00067_c0 + cpd02120_c0,,0.0,1000.0,
rxn02928,"2,3,4,5-Tetrahydrodipicolinate:NAD+ oxidoreductase",cpd00004_c0 + cpd00067_c0 + cpd02120_c0 --> cpd00001_c0 + cpd00003_c0 + cpd02465_c0,,0.0,1000.0,
rxn01652,S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate,cpd00001_c0 + cpd00347_c0 --> cpd00067_c0 + cpd02197_c0,,0.0,1000.0,
rxn00684,"5,6,7,8-Tetrahydrofolate:NAD+ oxidoreductase",2.0 cpd00004_c0 + 2.0 cpd00067_c0 + cpd00393_c0 --> 2.0 cpd00003_c0 + cpd00087_c0,,0.0,1000.0,
rxn05782,Phosphoprotein phosphohydrolase,3.0 cpd00001_c0 + cpd02978_c0 --> 3.0 cpd00009_c0 + 2.0 cpd00067_c0 + cpd02961_c0,,0.0,1000.0,
rxn00979,glycolaldehyde:NAD+ oxidoreductase,cpd00001_c0 + cpd00003_c0 + cpd00229_c0 --> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00139_c0,,0.0,1000.0,
rxn08653,glycolate transport via diffusion (extracellular to periplasm),cpd00067_e0 + cpd00139_e0 <=> cpd00067_c0 + cpd00139_c0,,-1000.0,1000.0,
rxn00127,,cpd00017_c0 + cpd00067_c0 --> cpd00011_c0 + cpd00837_c0,,0.0,1000.0,
EX_cpd02791_c0,,cpd02791_c0 --> ,,0.0,1000.0,
ADD_12dia,,cpd00001_c0 + cpd15521_c0 --> cpd00009_c0 + cpd15311_c0,,0.0,1000.0,
ADD_TPP1,,cpd00016_c0 + cpd00119_c0 --> cpd00939_e0,,0.0,1000.0,
rxn02484,,cpd00002_c0 + cpd00939_c0 --> cpd00008_c0 + cpd00067_c0 + cpd02775_c0,,0.0,1000.0,
