Species,Environment,Fraction,Growth_rate,N2_rate_mmol_gDW_h
Pseudomonas stutzeri,Bulk soil,0.0,0.0,7.586557560000049
Pseudomonas stutzeri,Bulk soil,0.1,0.7586557560000049,0.0
Pseudomonas stutzeri,Bulk soil,0.2,1.5173115120000098,0.0
Pseudomonas stutzeri,Bulk soil,0.3,2.2759672680000147,0.0
Pseudomonas stutzeri,Bulk soil,0.4,3.0346230240000196,0.0
Pseudomonas stutzeri,Bulk soil,0.5,3.7932787800000245,0.0
Pseudomonas stutzeri,Bulk soil,0.6,4.551934536000029,0.0
Pseudomonas stutzeri,Bulk soil,0.7,5.310590292000034,0.0
Pseudomonas stutzeri,Bulk soil,0.8,6.069246048000039,0.0
Pseudomonas stutzeri,Bulk soil,0.9,6.827901804000044,0.0
Pseudomonas stutzeri,Rhizosphere,0.0,0.0,7.625536569999985
Pseudomonas stutzeri,Rhizosphere,0.1,0.7625536569999986,0.0
Pseudomonas stutzeri,Rhizosphere,0.2,1.525107313999997,0.0
Pseudomonas stutzeri,Rhizosphere,0.3,2.2876609709999953,0.0
Pseudomonas stutzeri,Rhizosphere,0.4,3.050214627999994,0.0
Pseudomonas stutzeri,Rhizosphere,0.5,3.8127682849999927,0.0
Pseudomonas stutzeri,Rhizosphere,0.6,4.575321941999991,0.0
Pseudomonas stutzeri,Rhizosphere,0.7,5.3378755989999895,0.0
Pseudomonas stutzeri,Rhizosphere,0.8,6.100429255999988,0.0
Pseudomonas stutzeri,Rhizosphere,0.9,6.862982912999987,0.0
Pseudomonas stutzeri,Nodule,0.0,0.0,1.9999999999999996
Pseudomonas stutzeri,Nodule,0.1,0.19999999999999996,0.0
Pseudomonas stutzeri,Nodule,0.2,0.3999999999999999,0.0
Pseudomonas stutzeri,Nodule,0.3,0.5999999999999999,0.0
Pseudomonas stutzeri,Nodule,0.4,0.7999999999999998,0.0
Pseudomonas stutzeri,Nodule,0.5,0.9999999999999998,0.0
Pseudomonas stutzeri,Nodule,0.6,1.1999999999999997,0.0
Pseudomonas stutzeri,Nodule,0.7,1.3999999999999997,0.0
Pseudomonas stutzeri,Nodule,0.8,1.5999999999999996,0.0
Pseudomonas stutzeri,Nodule,0.9,1.7999999999999996,0.0
