species	condition	time_h	mu	biomass_gL
S. meliloti	Bulk	0	0.059555	0.01
S. meliloti	Bulk	1	0.059555	0.01061364
S. meliloti	Bulk	2	0.059555	0.01126494
S. meliloti	Bulk	3	0.059555	0.0119562
S. meliloti	Bulk	4	0.059555	0.01268989
S. meliloti	Bulk	5	0.059555	0.01346859
S. meliloti	Bulk	6	0.059555	0.01429508
S. meliloti	Bulk	7	0.059555	0.01517229
S. meliloti	Bulk	8	0.059555	0.01610332
S. meliloti	Bulk	9	0.059555	0.01709149
S. meliloti	Bulk	10	0.059555	0.0181403
S. meliloti	Bulk	11	0.059555	0.01925346
S. meliloti	Bulk	12	0.059555	0.02043493
S. meliloti	Bulk	13	0.059555	0.02168891
S. meliloti	Bulk	14	0.059555	0.02301983
S. meliloti	Bulk	15	0.059555	0.02443242
S. meliloti	Bulk	16	0.059555	0.0259317
S. meliloti	Bulk	17	0.059555	0.02752298
S. meliloti	Bulk	18	0.059555	0.0292119
S. meliloti	Bulk	19	0.059555	0.03100447
S. meliloti	Bulk	20	0.059555	0.03290704
S. meliloti	Bulk	21	0.059555	0.03492635
S. meliloti	Bulk	22	0.059555	0.03706958
S. meliloti	Bulk	23	0.059555	0.03934432
S. meliloti	Bulk	24	0.059555	0.04175866
S. meliloti	Bulk	25	0.059555	0.04432114
S. meliloti	Bulk	26	0.059555	0.04704087
S. meliloti	Bulk	27	0.059555	0.0499275
S. meliloti	Bulk	28	0.059555	0.05299126
S. meliloti	Bulk	29	0.059555	0.05624303
S. meliloti	Bulk	30	0.059555	0.05969434
S. meliloti	Bulk	31	0.059555	0.06335743
S. meliloti	Bulk	32	0.059555	0.06724531
S. meliloti	Bulk	33	0.059555	0.07137177
S. meliloti	Bulk	34	0.059555	0.07575144
S. meliloti	Bulk	35	0.059555	0.08039986
S. meliloti	Bulk	36	0.059555	0.08533354
S. meliloti	Bulk	37	0.059555	0.09056996
S. meliloti	Bulk	38	0.059555	0.09612772
S. meliloti	Bulk	39	0.059555	0.10202652
S. meliloti	Bulk	40	0.059555	0.1082873
S. meliloti	Bulk	41	0.059555	0.11493226
S. meliloti	Bulk	42	0.059555	0.12198499
S. meliloti	Bulk	43	0.059555	0.1294705
S. meliloti	Bulk	44	0.059555	0.13741535
S. meliloti	Bulk	45	0.059555	0.14584774
S. meliloti	Bulk	46	0.059555	0.15479757
S. meliloti	Bulk	47	0.059555	0.1642966
S. meliloti	Bulk	48	0.059555	0.17437853
S. meliloti	Bulk	49	0.059555	0.18507913
S. meliloti	Bulk	50	0.059555	0.19643636
S. meliloti	Bulk	51	0.059555	0.20849052
S. meliloti	Bulk	52	0.059555	0.22128438
S. meliloti	Bulk	53	0.059555	0.23486332
S. meliloti	Bulk	54	0.059555	0.24927552
S. meliloti	Bulk	55	0.059555	0.26457212
S. meliloti	Bulk	56	0.059555	0.28080738
S. meliloti	Bulk	57	0.059555	0.2980389
S. meliloti	Bulk	58	0.059555	0.31632782
S. meliloti	Bulk	59	0.059555	0.33573902
S. meliloti	Bulk	60	0.059555	0.35634138
S. meliloti	Bulk	61	0.059555	0.37820799
S. meliloti	Bulk	62	0.059555	0.40141642
S. meliloti	Bulk	63	0.059555	0.42604902
S. meliloti	Bulk	64	0.059555	0.45219318
S. meliloti	Bulk	65	0.059555	0.47994166
S. meliloti	Bulk	66	0.059555	0.5093929
S. meliloti	Bulk	67	0.059555	0.54065139
S. meliloti	Bulk	68	0.059555	0.57382804
S. meliloti	Bulk	69	0.059555	0.60904054
S. meliloti	Bulk	70	0.059555	0.64641383
S. meliloti	Bulk	71	0.059555	0.6860805
S. meliloti	Bulk	72	0.059555	0.72818129
S. meliloti	Rhizosphere	0	0.042284	0.01
S. meliloti	Rhizosphere	1	0.042284	0.0104319
S. meliloti	Rhizosphere	2	0.042284	0.01088246
S. meliloti	Rhizosphere	3	0.042284	0.01135248
S. meliloti	Rhizosphere	4	0.042284	0.0118428
S. meliloti	Rhizosphere	5	0.042284	0.0123543
S. meliloti	Rhizosphere	6	0.042284	0.01288788
S. meliloti	Rhizosphere	7	0.042284	0.01344452
S. meliloti	Rhizosphere	8	0.042284	0.01402519
S. meliloti	Rhizosphere	9	0.042284	0.01463095
S. meliloti	Rhizosphere	10	0.042284	0.01526286
S. meliloti	Rhizosphere	11	0.042284	0.01592207
S. meliloti	Rhizosphere	12	0.042284	0.01660975
S. meliloti	Rhizosphere	13	0.042284	0.01732714
S. meliloti	Rhizosphere	14	0.042284	0.0180755
S. meliloti	Rhizosphere	15	0.042284	0.01885619
S. meliloti	Rhizosphere	16	0.042284	0.0196706
S. meliloti	Rhizosphere	17	0.042284	0.02052018
S. meliloti	Rhizosphere	18	0.042284	0.02140646
S. meliloti	Rhizosphere	19	0.042284	0.02233101
S. meliloti	Rhizosphere	20	0.042284	0.0232955
S. meliloti	Rhizosphere	21	0.042284	0.02430164
S. meliloti	Rhizosphere	22	0.042284	0.02535124
S. meliloti	Rhizosphere	23	0.042284	0.02644617
S. meliloti	Rhizosphere	24	0.042284	0.0275884
S. meliloti	Rhizosphere	25	0.042284	0.02877995
S. meliloti	Rhizosphere	26	0.042284	0.03002297
S. meliloti	Rhizosphere	27	0.042284	0.03131967
S. meliloti	Rhizosphere	28	0.042284	0.03267239
S. meliloti	Rhizosphere	29	0.042284	0.03408352
S. meliloti	Rhizosphere	30	0.042284	0.0355556
S. meliloti	Rhizosphere	31	0.042284	0.03709127
S. meliloti	Rhizosphere	32	0.042284	0.03869325
S. meliloti	Rhizosphere	33	0.042284	0.04036443
S. meliloti	Rhizosphere	34	0.042284	0.04210779
S. meliloti	Rhizosphere	35	0.042284	0.04392644
S. meliloti	Rhizosphere	36	0.042284	0.04582365
S. meliloti	Rhizosphere	37	0.042284	0.04780279
S. meliloti	Rhizosphere	38	0.042284	0.04986742
S. meliloti	Rhizosphere	39	0.042284	0.05202121
S. meliloti	Rhizosphere	40	0.042284	0.05426803
S. meliloti	Rhizosphere	41	0.042284	0.05661189
S. meliloti	Rhizosphere	42	0.042284	0.05905698
S. meliloti	Rhizosphere	43	0.042284	0.06160768
S. meliloti	Rhizosphere	44	0.042284	0.06426854
S. meliloti	Rhizosphere	45	0.042284	0.06704433
S. meliloti	Rhizosphere	46	0.042284	0.06994001
S. meliloti	Rhizosphere	47	0.042284	0.07296075
S. meliloti	Rhizosphere	48	0.042284	0.07611195
S. meliloti	Rhizosphere	49	0.042284	0.07939926
S. meliloti	Rhizosphere	50	0.042284	0.08282855
S. meliloti	Rhizosphere	51	0.042284	0.08640596
S. meliloti	Rhizosphere	52	0.042284	0.09013787
S. meliloti	Rhizosphere	53	0.042284	0.09403096
S. meliloti	Rhizosphere	54	0.042284	0.0980922
S. meliloti	Rhizosphere	55	0.042284	0.10232885
S. meliloti	Rhizosphere	56	0.042284	0.10674848
S. meliloti	Rhizosphere	57	0.042284	0.11135899
S. meliloti	Rhizosphere	58	0.042284	0.11616864
S. meliloti	Rhizosphere	59	0.042284	0.12118601
S. meliloti	Rhizosphere	60	0.042284	0.12642009
S. meliloti	Rhizosphere	61	0.042284	0.13188023
S. meliloti	Rhizosphere	62	0.042284	0.13757619
S. meliloti	Rhizosphere	63	0.042284	0.14351817
S. meliloti	Rhizosphere	64	0.042284	0.14971679
S. meliloti	Rhizosphere	65	0.042284	0.15618312
S. meliloti	Rhizosphere	66	0.042284	0.16292874
S. meliloti	Rhizosphere	67	0.042284	0.16996571
S. meliloti	Rhizosphere	68	0.042284	0.1773066
S. meliloti	Rhizosphere	69	0.042284	0.18496455
S. meliloti	Rhizosphere	70	0.042284	0.19295325
S. meliloti	Rhizosphere	71	0.042284	0.20128699
S. meliloti	Rhizosphere	72	0.042284	0.20998067
S. meliloti	Nodule	0	0.193627	0.01
S. meliloti	Nodule	1	0.193627	0.01213644
S. meliloti	Nodule	2	0.193627	0.01472931
S. meliloti	Nodule	3	0.193627	0.01787614
S. meliloti	Nodule	4	0.193627	0.02169527
S. meliloti	Nodule	5	0.193627	0.02633033
S. meliloti	Nodule	6	0.193627	0.03195565
S. meliloti	Nodule	7	0.193627	0.03878277
S. meliloti	Nodule	8	0.193627	0.04706848
S. meliloti	Nodule	9	0.193627	0.05712437
S. meliloti	Nodule	10	0.193627	0.06932864
S. meliloti	Nodule	11	0.193627	0.08414028
S. meliloti	Nodule	12	0.193627	0.10211633
S. meliloti	Nodule	13	0.193627	0.12393286
S. meliloti	Nodule	14	0.193627	0.15041036
S. meliloti	Nodule	15	0.193627	0.18254461
S. meliloti	Nodule	16	0.193627	0.22154415
S. meliloti	Nodule	17	0.193627	0.2688757
S. meliloti	Nodule	18	0.193627	0.32631934
S. meliloti	Nodule	19	0.193627	0.39603547
S. meliloti	Nodule	20	0.193627	0.48064603
