Condition	Time (hours)	Biomass (gDW/L)
Bulk	0	0.01
Bulk	1	38877.4648858797
Bulk	2	151145727595.2809
Bulk	3	5.876162717236283e+17
Bulk	4	2.284503097030686e+24
Bulk	5	8.881568893649376e+30
Bulk	6	3.4529288279437686e+37
Bulk	7	1.3424111926182443e+44
Bulk	8	5.2189544003427955e+50
Bulk	9	2.0289971644033256e+57
Bulk	10	7.888226601264021e+63
Bulk	11	3.066742527025057e+70
Bulk	12	1.1922717490845128e+77
Bulk	13	4.635250305945976e+83
Bulk	14	1.8020678100667367e+90
Bulk	15	7.0059828007844055e+96
Bulk	16	2.7237485032857433e+103
Bulk	17	1.0589243679445943e+110
Bulk	18	4.116829493156737e+116
Bulk	19	1.6005189406136037e+123
Bulk	20	6.222411891288932e+129
Bulk	21	2.419115998090739e+136
Bulk	22	9.404909727064035e+142
Bulk	23	3.6563904766879203e+149
Bulk	24	1.4215119236650435e+156
Bulk	25	5.526477989714575e+162
Bulk	26	2.148554539877227e+169
Bulk	27	8.353035367947237e+175
Bulk	28	3.247448392078724e+182
Bulk	29	1.2625256083175136e+189
Bulk	30	4.908379500488691e+195
Bulk	31	1.9082535167682725e+202
Bulk	32	7.418805909151325e+208
Bulk	33	2.8842436622818083e+215
Bulk	34	1.1213208170268584e+222
Bulk	35	4.35941106897691e+228
Bulk	36	1.6948285075725157e+235
Bulk	37	6.589063579074058e+241
Bulk	38	2.561660879262892e+248
Bulk	39	9.959088088306685e+254
Bulk	40	3.871840974485389e+261
Bulk	41	1.5052736152927105e+268
Bulk	42	5.852122212218551e+274
Bulk	43	2.275156758133852e+281
Bulk	44	8.845232697422369e+287
Bulk	45	3.4388022360148473e+294
Bulk	46	1.3369191318014114e+301
Bulk	47	inf
Bulk	48	inf
Bulk	49	inf
Bulk	50	inf
Bulk	51	inf
Bulk	52	inf
Bulk	53	inf
Bulk	54	inf
Bulk	55	inf
Bulk	56	inf
Bulk	57	inf
Bulk	58	inf
Bulk	59	inf
Bulk	60	inf
Bulk	61	inf
Bulk	62	inf
Bulk	63	inf
Bulk	64	inf
Bulk	65	inf
Bulk	66	inf
Bulk	67	inf
Bulk	68	inf
Bulk	69	inf
Bulk	70	inf
Bulk	71	inf
Bulk	72	inf
Rhizosphere	0	0.01
Rhizosphere	1	38877.464886296824
Rhizosphere	2	151145727598.52426
Rhizosphere	3	5.876162717425422e+17
Rhizosphere	4	2.2845030971287296e+24
Rhizosphere	5	8.881568894125836e+30
Rhizosphere	6	3.4529288281660518e+37
Rhizosphere	7	1.3424111927190651e+44
Rhizosphere	8	5.218954400790757e+50
Rhizosphere	9	2.02899716459928e+57
Rhizosphere	10	7.888226602110363e+63
Rhizosphere	11	3.066742527386954e+70
Rhizosphere	12	1.1922717492380183e+77
Rhizosphere	13	4.635250306592433e+83
Rhizosphere	14	1.8020678103374231e+90
Rhizosphere	15	7.005982801912034e+96
Rhizosphere	16	2.723748503753321e+103
Rhizosphere	17	1.0589243681377533e+110
Rhizosphere	18	4.116829493951919e+116
Rhizosphere	19	1.6005189409398542e+123
Rhizosphere	20	6.222411892624161e+129
Rhizosphere	21	2.419115998635694e+136
Rhizosphere	22	9.404909729283723e+142
Rhizosphere	23	3.656390477590369e+149
Rhizosphere	24	1.4215119240310836e+156
Rhizosphere	25	5.52647799119702e+162
Rhizosphere	26	2.1485545404765247e+169
Rhizosphere	27	8.353035370366895e+175
Rhizosphere	28	3.2474483930543146e+182
Rhizosphere	29	1.262525608710362e+189
Rhizosphere	30	4.90837950206872e+195
Rhizosphere	31	1.9082535174029403e+202
Rhizosphere	32	7.418805911698456e+208
Rhizosphere	33	2.8842436633030544e+215
Rhizosphere	34	1.1213208174359398e+222
Rhizosphere	35	4.3594110706139023e+228
Rhizosphere	36	1.694828508227241e+235
Rhizosphere	37	6.58906358168988e+241
Rhizosphere	38	2.5616608803072323e+248
Rhizosphere	39	9.959088092474375e+254
Rhizosphere	40	3.8718409761470586e+261
Rhizosphere	41	1.5052736159548116e+268
Rhizosphere	42	5.852122214855172e+274
Rhizosphere	43	2.2751567591834752e+281
Rhizosphere	44	8.845232701597565e+287
