Reaction ID          | Reaction Name                                      | Lower Bound     | Upper Bound    
-------------------------------------------------------------------------------------------------------------
EXpd02791            |                                                    |             0.0 |          1000.0
EXpd01042            |                                                    |             0.0 |          1000.0
EXpd03091            |                                                    |             0.0 |          1000.0
EX_Biomass           |                                                    |             0.0 |          1000.0
EXpd11590            |                                                    |             0.0 |          1000.0
EXpd16062            |                                                    |             0.0 |          1000.0
EXpd00156            |                                                    |             0.0 |          1000.0
EXpd11583            |                                                    |             0.0 |          1000.0
EXpd01242            |                                                    |             0.0 |          1000.0
EXpd00254            |                                                    |         -1000.0 |          1000.0
EXpd15603            |                                                    |             0.0 |          1000.0
EXpd11576            |                                                    |             0.0 |          1000.0
EXpd00098            |                                                    |             0.0 |          1000.0
EXpd00971            |                                                    |         -1000.0 |          1000.0
EXpd00023            |                                                    |             0.0 |          1000.0
EXpd03424            |                                                    |             0.0 |          1000.0
EXpd00205            |                                                    |         -1000.0 |          1000.0
EXpd00034            |                                                    |         -1000.0 |          1000.0
EXpd00009            |                                                    |         -1000.0 |          1000.0
EXpd15606            |                                                    |             0.0 |          1000.0
EXpd00048            |                                                    |         -1000.0 |          1000.0
EXpd00039            |                                                    |             0.0 |          1000.0
EXpd00106            |                                                    |             0.0 |          1000.0
EXpd00264            |                                                    |             0.0 |          1000.0
EXpd01171            |                                                    |             0.0 |          1000.0
EXpd00211            |                                                    |             0.0 |          1000.0
EXpd00129            |                                                    |             0.0 |          1000.0
EXpd00119            |                                                    |             0.0 |          1000.0
EXpd01017            |                                                    |             0.0 |          1000.0
EXpd11586            |                                                    |             0.0 |          1000.0
EXpd00060            |                                                    |             0.0 |          1000.0
EXpd00797            |                                                    |             0.0 |          1000.0
EXpd00027            |                                                    |           -10.0 |          1000.0
EXpd11589            |                                                    |             0.0 |          1000.0
EXpd00082            |                                                    |             0.0 |          1000.0
EXpd00130            |                                                    |             0.0 |          1000.0
EXpd01030            |                                                    |             0.0 |          1000.0
EXpd15302            |                                                    |             0.0 |          1000.0
EXpd00268            |                                                    |             0.0 |          1000.0
EXpd00066            |                                                    |             0.0 |          1000.0
EXpd11584            |                                                    |             0.0 |          1000.0
EXpd00142            |                                                    |             0.0 |          1000.0
EXpd00355            |                                                    |             0.0 |          1000.0
EXpd15604            |                                                    |             0.0 |          1000.0
EXpd00105            |                                                    |             0.0 |          1000.0
EXpd00041            |                                                    |             0.0 |          1000.0
EXpd00162            |                                                    |             0.0 |          1000.0
EXpd11593            |                                                    |             0.0 |          1000.0
EXpd00001            |                                                    |         -1000.0 |          1000.0
EXpd00222            |                                                    |             0.0 |          1000.0
EXpd01329            |                                                    |             0.0 |          1000.0
EXpd00314            |                                                    |             0.0 |          1000.0
EXpd00100            |                                                    |             0.0 |          1000.0
EXpd00064            |                                                    |             0.0 |          1000.0
EXpd11587            |                                                    |             0.0 |          1000.0
EXpd00322            |                                                    |             0.0 |          1000.0
EXpd00013            |                                                    |         -1000.0 |          1000.0
EXpd01080            |                                                    |             0.0 |          1000.0
EXpd00107            |                                                    |             0.0 |          1000.0
EXpd00226            |                                                    |             0.0 |          1000.0
EXpd00036            |                                                    |             0.0 |          1000.0
EXpd10515            |                                                    |         -1000.0 |          1000.0
EXpd00099            |                                                    |         -1000.0 |          1000.0
EXpd11592            |                                                    |             0.0 |          1000.0
EXpd00276            |                                                    |             0.0 |          1000.0
EXpd00012            |                                                    |             0.0 |          1000.0
EXpd11580            |                                                    |             0.0 |          1000.0
EXpd11581            |                                                    |             0.0 |          1000.0
EXpd01012            |                                                    |             0.0 |          1000.0
EXpd01262            |                                                    |             0.0 |          1000.0
EXpd00307            |                                                    |             0.0 |          1000.0
EXpd00159            |                                                    |             0.0 |          1000.0
EXpd01914            |                                                    |             0.0 |          1000.0
EXpd00531            |                                                    |         -1000.0 |          1000.0
EXpd00051            |                                                    |             0.0 |          1000.0
EXpd00214            |                                                    |             0.0 |          1000.0
EXpd11585            |                                                    |             0.0 |          1000.0
EXpd00122            |                                                    |             0.0 |          1000.0
EXpd00635            |                                                    |         -1000.0 |          1000.0
EXpd00065            |                                                    |             0.0 |          1000.0
EXpd00209            |                                                    |             0.0 |          1000.0
EXpd11591            |                                                    |             0.0 |          1000.0
EXpd00092            |                                                    |             0.0 |          1000.0
EXpd00058            |                                                    |         -1000.0 |          1000.0
EXpd04097            |                                                    |         -1000.0 |          1000.0
EXpd00149            |                                                    |         -1000.0 |          1000.0
EXpd00794            |                                                    |             0.0 |          1000.0
EXpd00076            |                                                    |             0.0 |          1000.0
EXpd00308            |                                                    |             0.0 |          1000.0
EXpd00179            |                                                    |             0.0 |          1000.0
EXpd15605            |                                                    |             0.0 |          1000.0
EXpd00073            |                                                    |             0.0 |          1000.0
EXpd00118            |                                                    |             0.0 |          1000.0
EXpd00423            |                                                    |             0.0 |          1000.0
EXpd11582            |                                                    |             0.0 |          1000.0
EXpd03847            |                                                    |             0.0 |          1000.0
EXpd00637            |                                                    |             0.0 |          1000.0
EXpd11588            |                                                    |             0.0 |          1000.0
EXpd03696            |                                                    |             0.0 |          1000.0
EXpd00075            |                                                    |             0.0 |          1000.0
EXpd00069            |                                                    |             0.0 |          1000.0
EXpd00221            |                                                    |             0.0 |          1000.0
EXpd10516            |                                                    |         -1000.0 |          1000.0
EXpd00011            |                                                    |         -1000.0 |          1000.0
EXpd00007            |                                                    |         -1000.0 |          1000.0
EXpd11416            |                                                    |             0.0 |          1000.0
EXpd11606            |                                                    |             0.0 |          1000.0
EXpd00063            |                                                    |         -1000.0 |          1000.0
EXpd00793            |                                                    |             0.0 |          1000.0
EXpd00393            |                                                    |             0.0 |          1000.0
EXpd00030            |                                                    |         -1000.0 |          1000.0
EXpd00141            |                                                    |             0.0 |          1000.0
EXpd00029            |                                                    |             0.0 |          1000.0
EXpd00137            |                                                    |             0.0 |          1000.0
EXpd00139            |                                                    |             0.0 |          1000.0
EXpd00024            |                                                    |             0.0 |          1000.0
EXpd03561            |                                                    |             0.0 |          1000.0
EXpd00047            |                                                    |             0.0 |          1000.0
EXpd00386            |                                                    |             0.0 |          1000.0
EXpd00067            |                                                    |             0.0 |          1000.0
EXpd00068            |                                                    |         -1000.0 |          1000.0
EXpd20885            |                                                    |             0.0 |          1000.0
EXpd29840            |                                                    |             0.0 |          1000.0
EXpd26818            |                                                    |             0.0 |          1000.0
EXpd00492            |                                                    |             0.0 |          1000.0
EXpd00750            |                                                    |             0.0 |          1000.0
EXpd00751            |                                                    |             0.0 |          1000.0
EXpd01307            |                                                    |             0.0 |          1000.0
EXpd00121            |                                                    |             0.0 |          1000.0
EXpd00550            |                                                    |             0.0 |          1000.0
EXpd01293            |                                                    |             0.0 |          1000.0
EXpd02143            |                                                    |             0.0 |          1000.0
EXpd00281            |                                                    |             0.0 |          1000.0
