gene_id	gene_name	n_reactions	reaction_ids
PST_1808	G_PST_1808	0	
PST_1807	G_PST_1807	0	
PST_3534	G_PST_3534	0	
PST_3533	G_PST_3533	0	
PST_3535	G_PST_3535	0	
PST_3520	G_PST_3520	0	
PST_1877	G_PST_1877	5	rxn01241;rxn08094;rxn00154;rxn06493;rxn00908
PST_1875	G_PST_1875	3	rxn02376;rxn00441;rxn08094
PST_1876	G_PST_1876	2	rxn01872;rxn08094
PST_1649	G_PST_1649	2	rxn02944;rxn01637
PST_2790	G_PST_2790	1	rxn01644
PST_3325	G_PST_3325	1	rxn02928
PST_4064	G_PST_4064	3	rxn01652;rxn06600;rxn00908
PST_1136	G_PST_1136	3	rxn00684;rxn00686;rxn01602
PST_4017	G_PST_4017	3	rxn00684;rxn00686;rxn01602
PST_3683	G_PST_3683	1	rxn05782
PST_3756	G_PST_3756	1	rxn02484
PST_2440	G_PST_2440	1	rxn05147
PST_2438	G_PST_2438	1	rxn05147
PST_2437	G_PST_2437	1	rxn05147
PST_2439	G_PST_2439	1	rxn05147
PST_3853	G_PST_3853	2	rxn00154;rxn01871
PST_3852	G_PST_3852	3	rxn00154;rxn00011;rxn02342
PST_2797	G_PST_2797	1	rxn25164
PST_2341	G_PST_2341	2	rxn01258;rxn01000
PST_3255	G_PST_3255	14	rxn09207;rxn10227;rxn09208;rxn10228;rxn10880;rxn09209;rxn09211;rxn10229;rxn09206;rxn10226;rxn10230;rxn09210;rxn09205;rxn10231
PST_1542	G_PST_1542	14	rxn10221;rxn10224;rxn08309;rxn08310;rxn10222;rxn10225;rxn10223;rxn08307;rxn08306;rxn10859;rxn08312;rxn10220;rxn08308;rxn08311
PST_2703	G_PST_2703	17	rxn08548;rxn10204;rxn10210;rxn08552;rxn08546;rxn08551;rxn08549;PA_syn;rxn10209;rxn10205;rxn10208;rxn10207;rxn10206;rxn08550;rxn10203;rxn10202;rxn08547
PST_0007	G_PST_0007	17	rxn10219;rxn10215;rxn10218;rxn08083;rxn10212;rxn08087;rxn10214;rxn10213;rxn08085;rxn10211;PA_syn;rxn10216;rxn08084;rxn08089;rxn08086;rxn10217;rxn08088
PST_1548	G_PST_1548	5	rxn05332;rxn05329;rxn05330;rxn05333;rxn05334
PST_1893	G_PST_1893	6	rxn05332;rxn05329;rxn05330;rxn08392;rxn05333;rxn05334
PST_3211	G_PST_3211	14	rxn00988;rxn05249;rxn09448;rxn05251;rxn05334;rxn05465;rxn05736;rxn00947;rxn05252;rxn09449;rxn09450;rxn05248;rxn05250;rxn05247
PST_0621	G_PST_0621	2	rxn05334;rxn05465
PST_2622	G_PST_2622	27	rxn05339;rxn05368;rxn05372;rxn05418;rxn05336;rxn05342;rxn05364;rxn05401;rxn05430;rxn05385;rxn05389;rxn05338;rxn05410;rxn05393;rxn05380;rxn05405;rxn05422;rxn05360;Cis11_oct_syn;rxn05414;rxn05461;rxn05337;rxn05340;rxn05341;rxn05426;rxn05376;rxn05397
PST_2262	G_PST_2262	27	rxn05322;rxn05437;rxn05328;rxn05323;rxn05436;rxn05438;rxn05325;rxn05327;rxn05446;rxn05444;rxn05326;rxn05439;rxn05442;rxn05443;rxn05435;rxn05441;rxn05449;rxn05324;rxn05447;Cis11_oct_syn;rxn05445;rxn05450;rxn05448;rxn05440;rxn05434;rxn05433;rxn05464
PST_0688	G_PST_0688	27	rxn05322;rxn05437;rxn05328;rxn05323;rxn05436;rxn05438;rxn05325;rxn05327;rxn05446;rxn05444;rxn05326;rxn05439;rxn05442;rxn05443;rxn05435;rxn05441;rxn05449;rxn05324;rxn05447;Cis11_oct_syn;rxn05445;rxn05450;rxn05448;rxn05440;rxn05434;rxn05433;rxn05464
PST_0841	G_PST_0841	14	rxn10266;rxn10267;rxn09105;rxn10268;rxn09101;rxn09106;rxn09542;rxn09104;rxn09102;rxn09107;rxn10270;rxn09103;rxn10265;rxn10269
PST_3405	G_PST_3405	14	rxn10266;rxn10267;rxn09105;rxn10268;rxn09101;rxn09106;rxn09542;rxn09104;rxn09102;rxn09107;rxn10270;rxn09103;rxn10265;rxn10269
PST_2087	G_PST_2087	14	rxn09109;rxn10261;rxn10259;rxn10875;rxn09110;rxn09114;rxn09111;rxn10260;rxn09108;rxn09113;rxn10264;rxn09112;rxn10263;rxn10262
PST_2150	G_PST_2150	10	rxn10336;rxn10340;rxn10339;rxn10335;rxn10342;Car_syn;rxn10334;rxn10337;rxn10338;rxn10341
