condition	reaction_id	reaction_name	flux	direction
Bulk	EX_cpd02791_c0		0.00053004	secretion
Bulk	EX_cpd00156_e0		-0.02501664	uptake
Bulk	EX_cpd00009_e0		-0.05887471	uptake
Bulk	EX_cpd00048_e0		-0.01262323	uptake
Bulk	EX_cpd00129_e0		-0.01102953	uptake
Bulk	EX_cpd00119_e0		-0.0068175	uptake
Bulk	EX_cpd00027_e0		-0.61972444	uptake
Bulk	EX_cpd00130_e0		-0.03649016	uptake
Bulk	EX_cpd00001_e0		3.45971674	secretion
Bulk	EX_cpd00064_e0		-0.0068175	uptake
Bulk	EX_cpd00322_e0		-0.01268523	uptake
Bulk	EX_cpd00013_e0		-0.44495007	uptake
Bulk	EX_cpd00107_e0		-0.02548957	uptake
Bulk	EX_cpd00036_e0		-0.0056245	uptake
Bulk	EX_cpd00051_e0		-0.0068175	uptake
Bulk	EX_cpd00069_e0		-0.0068175	uptake
Bulk	EX_cpd00011_e0		2.18391137	secretion
Bulk	EX_cpd00007_e0		-2.12574881	uptake
Bulk	EX_cpd00067_e0		-15.0	uptake
Bulk	EX_cpd00067_c0		15.20659388	secretion
Bulk	EX_cpd00035_e0		-0.02780553	uptake
Rhizosphere	EX_cpd02791_c0		0.00037633	secretion
Rhizosphere	EX_cpd00156_e0		-0.00337883	uptake
Rhizosphere	EX_cpd00023_e0		-0.0283302	uptake
Rhizosphere	EX_cpd00009_e0		-0.04180071	uptake
Rhizosphere	EX_cpd00048_e0		-0.00896242	uptake
Rhizosphere	EX_cpd00119_e0		-0.00506825	uptake
Rhizosphere	EX_cpd00027_e0		-0.04098397	uptake
Rhizosphere	EX_cpd00130_e0		-0.79413596	uptake
Rhizosphere	EX_cpd00041_e0		-0.03205557	uptake
Rhizosphere	EX_cpd00001_e0		2.66128284	secretion
Rhizosphere	EX_cpd00064_e0		-0.00831712	uptake
Rhizosphere	EX_cpd00322_e0		-0.00186269	uptake
Rhizosphere	EX_cpd00013_e0		-0.28773894	uptake
Rhizosphere	EX_cpd00107_e0		-0.00303228	uptake
Rhizosphere	EX_cpd00036_e0		-0.12240603	uptake
Rhizosphere	EX_cpd00051_e0		-0.00948672	uptake
Rhizosphere	EX_cpd00069_e0		-0.00233919	uptake
Rhizosphere	EX_cpd00011_e0		2.71816226	secretion
Rhizosphere	EX_cpd00007_e0		-1.74953709	uptake
Rhizosphere	EX_cpd00067_e0		-15.0	uptake
Rhizosphere	EX_cpd00067_c0		13.29296308	secretion
Rhizosphere	EX_cpd00035_e0		-0.00823049	uptake
Nodule	EX_cpd02791_c0		0.00172328	secretion
Nodule	EX_cpd00023_e0		-2.0	uptake
Nodule	EX_cpd00009_e0		-0.1914153	uptake
Nodule	EX_cpd00048_e0		-0.04104105	uptake
Nodule	EX_cpd00130_e0		-0.58658388	uptake
Nodule	EX_cpd00001_e0		4.10646796	secretion
Nodule	EX_cpd00214_e0		0.06562652	secretion
Nodule	EX_cpd00011_e0		3.64164292	secretion
Nodule	EX_cpd00007_e0		-1.26	uptake
Nodule	EX_cpd00067_e0		-109.98850743	uptake
Nodule	EX_cpd00067_c0		106.40116009	secretion
Nodule	EX_cpd00121_e0		-0.01	uptake
