Condition	Time (hours)	Nitrogen (gDW/L)
Bulk	0	0.01
Bulk	1	19.71514996631324
Bulk	2	38868.7138194221
Bulk	3	76630252.19476186
Bulk	4	151077691397.61343
Bulk	5	297851934246832.94
Bulk	6	5.872195551432804e+17
Bulk	7	1.157712159280156e+21
Bulk	8	2.2824468838032516e+24
Bulk	9	4.4998782604325273e+27
Bulk	10	8.871577473457972e+30
Bulk	11	1.749044803269921e+34
Bulk	12	3.448268059426721e+37
Bulk	13	6.798312191564548e+40
Bulk	14	1.3402974437451215e+44
Bulk	15	2.6424165102901258e+47
Bulk	16	5.209563777383174e+50
Bulk	17	1.027073311301822e+54
Bulk	18	2.024890435871327e+57
Bulk	19	3.992101860855645e+60
Bulk	20	7.870488686756692e+63
Bulk	21	1.551678647675838e+67
Bulk	22	3.0591577238455163e+70
Bulk	23	6.03117532962196e+73
Bulk	24	1.189055260966252e+77
Bulk	25	2.3442402788183303e+80
Bulk	26	4.6217048653975183e+83
Bulk	27	9.11176045213513e+86
Bulk	28	1.7963972377097068e+90
Bulk	29	3.54162409405176e+93
Bulk	30	6.982365013853847e+96
Bulk	31	1.3765837336766693e+100
Bulk	32	2.7139554750622845e+103
Bulk	33	5.350603919274964e+106
Bulk	34	1.0548795867884893e+110
Bulk	35	2.0797109249938127e+113
Bulk	36	4.1001812772831736e+116
Bulk	37	8.083568877070954e+119
Bulk	38	1.5936877267447106e+123
Bulk	39	3.141979253224559e+126
Bulk	40	6.194459216836507e+129
Bulk	41	1.2212469242014607e+133
Bulk	42	2.407706625653117e+136
Bulk	43	4.74682971996357e+139
Bulk	44	9.35844597936368e+142
Bulk	45	1.8450316593479021e+146
Bulk	46	3.6375075856640566e+149
Bulk	47	7.171400755496658e+152
Bulk	48	1.4138524136315221e+156
Bulk	49	2.787431236498009e+159
Bulk	50	5.495462484834243e+162
Bulk	51	1.083438670227582e+166
Bulk	52	2.1360155862839092e+169
Bulk	53	4.2111867613970814e+172
Bulk	54	8.302417853709379e+175
Bulk	55	1.6368341306888097e+179
Bulk	56	3.227043035651065e+182
Bulk	57	6.362163739560543e+185
Bulk	58	1.2543101223567948e+189
Bulk	59	2.472891216652813e+192
Bulk	60	4.875342118669023e+195
Bulk	61	9.611810100664003e+198
Bulk	62	1.894982775823199e+202
Bulk	63	3.7359869608933716e+205
Bulk	64	7.365554320620549e+208
Bulk	65	1.4521300801606418e+212
Bulk	66	2.8628962300960602e+215
Bulk	67	5.644242851433805e+218
Bulk	68	1.1127709426230538e+222
Bulk	69	2.1938446011969796e+225
Bulk	70	4.3251975315386194e+228
Bulk	71	8.527191796820416e+231
Bulk	72	1.6811486506583473e+235
Rhizosphere	0	0.01
Rhizosphere	1	20.49880074136433
Rhizosphere	2	42020.08318341589
Rhizosphere	3	86136131.23123947
Rhizosphere	4	176568739074.11902
Rhizosphere	5	361944739943432.25
Rhizosphere	6	7.41943310348531e+17
Rhizosphere	7	1.5208948080222798e+21
Rhizosphere	8	3.1176519618224326e+24
Rhizosphere	9	6.39081263463213e+27
Rhizosphere	10	1.3100399477271879e+31
Rhizosphere	11	2.6854247851686824e+34
Rhizosphere	12	5.504798757709365e+37
Rhizosphere	13	1.1284177285559516e+41
Rhizosphere	14	2.3131210170691274e+44
Rhizosphere	15	4.741620681956246e+47
Rhizosphere	16	9.719753755055263e+50
Rhizosphere	17	1.9924329548000448e+54
Rhizosphere	18	4.0842486130973664e+57
Rhizosphere	19	8.372219849807847e+60
Rhizosphere	20	1.7162046646410533e+64
Rhizosphere	21	3.5180137451876763e+67
Rhizosphere	22	7.211506276798265e+70
Rhizosphere	23	1.47827230213185e+74
Rhizosphere	24	3.030280936287856e+77
Rhizosphere	25	6.211712510332114e+80
Rhizosphere	26	1.2733265701193735e+84
Rhizosphere	27	2.6101667639561773e+87
Rhizosphere	28	5.350528839606915e+90
Rhizosphere	29	1.0967942454402487e+94
Rhizosphere	30	2.2482966691555216e+97
Rhizosphere	31	4.6087385428491914e+100
Rhizosphere	32	9.447361305891087e+103
Rhizosphere	33	1.936595769411359e+107
Rhizosphere	34	3.9697890793732376e+110
Rhizosphere	35	8.137591532331801e+113
Rhizosphere	36	1.6681086733587762e+117
Rhizosphere	37	3.4194227310123936e+120
Rhizosphere	38	7.009406521351651e+123
Rhizosphere	39	1.4368442759640236e+127
Rhizosphere	40	2.94535845093571e+130
Rhizosphere	41	6.03763159976226e+133
Rhizosphere	42	1.237642071132942e+137
Rhizosphere	43	2.5370178205284215e+140
Rhizosphere	44	5.200582278030078e+143
Rhizosphere	45	1.066056998564116e+147
Rhizosphere	46	2.1852889992502e+150
Rhizosphere	47	4.479580375792635e+153
Rhizosphere	48	9.182602552829607e+156
Rhizosphere	49	1.8823234001760188e+160
Rhizosphere	50	3.858537231101649e+163
Rhizosphere	51	7.909538585348569e+166
Rhizosphere	52	1.6213605541719677e+170
Rhizosphere	53	3.3235946929878086e+173
Rhizosphere	54	6.812970535661463e+176
Rhizosphere	55	1.3965772546731376e+180
Rhizosphere	56	2.8628158863465306e+183
Rhizosphere	57	5.868429241343121e+186
Rhizosphere	58	1.202957616830844e+190
Rhizosphere	59	2.465918848772254e+193
Rhizosphere	60	5.054837912535813e+196
Rhizosphere	61	1.0361811514896216e+200
Rhizosphere	62	2.124047095634369e+203
Rhizosphere	63	4.3540418178681084e+206
Rhizosphere	64	8.925263564404814e+209
Rhizosphere	65	1.8295719937089767e+213
Rhizosphere	66	3.7504031741019725e+216
Rhizosphere	67	7.687876736569842e+219
Rhizosphere	68	1.5759225334711014e+223
Rhizosphere	69	3.230452199745091e+226
Rhizosphere	70	6.622039594707824e+229
Rhizosphere	71	1.3574387015334384e+233
Rhizosphere	72	2.782586546134776e+236
Nodule	0	0.01
Nodule	1	0.07389056098930646
Nodule	2	0.545981500331442
Nodule	3	4.034287934927344
Nodule	4	29.809579870417227
Nodule	5	220.26465794806677
Nodule	6	1627.5479141900335
Nodule	7	12026.042841647726
Nodule	8	88861.1052050784
Nodule	9	656599.6913733028
Nodule	10	4851651.954097886
Nodule	11	35849128.46131579
Nodule	12	264891221.29843286
Nodule	13	1957296094.2883737
Nodule	14	14462570642.914648
Nodule	15	106864745815.24387
Nodule	16	789629601826.8014
Nodule	17	5834617425274.508
Nodule	18	43112315471151.65
Nodule	19	318559317571135.3
Nodule	20	2353852668370183.0
Nodule	21	1.7392749415204888e+16
Nodule	22	1.2851600114359216e+17
Nodule	23	9.496119420602381e+17
Nodule	24	7.016735912097532e+18
Nodule	25	5.1847055285869986e+19
Nodule	26	3.831008000716523e+20
Nodule	27	2.830753303274654e+21
Nodule	28	2.0916594960129665e+22
Nodule	29	1.5455389355900822e+23
Nodule	30	1.142007389815668e+24
Nodule	31	8.438356668741334e+24
Nodule	32	6.235149080811529e+25
Nodule	33	4.607186634331226e+26
Nodule	34	3.404276049931692e+27
Nodule	35	2.515438670919131e+28
Nodule	36	1.8586717452841018e+29
Nodule	37	1.3733829795401566e+30
Nodule	38	1.0148003881138743e+31
Nodule	39	7.498416996990013e+31
Nodule	40	5.5406223843934316e+32
Nodule	41	4.0939969621273965e+33
Nodule	42	3.0250773222010996e+34
Nodule	43	2.2352466037346834e+35
Nodule	44	1.6516362549939785e+36
Nodule	45	1.2204032943178235e+37
Nodule	46	9.01762840503417e+37
Nodule	47	6.663176216410801e+38
Nodule	48	4.9234582860119185e+39
Nodule	49	3.6379709476087017e+40
Nodule	50	2.6881171418160587e+41
Nodule	51	1.9862648361375976e+42
Nodule	52	1.4676622301554006e+43
Nodule	53	1.0844638552899922e+44
Nodule	54	8.013164264000364e+44
Nodule	55	5.920972027664502e+45
Nodule	56	4.375039447261217e+46
Nodule	57	3.2327411910847677e+47
Nodule	58	2.3886906014249237e+48
Nodule	59	1.7650168856917153e+49
Nodule	60	1.3041808783935954e+50
Nodule	61	9.636665673602927e+50
Nodule	62	7.120586326889136e+51
Nodule	63	5.261441182666236e+52
Nodule	64	3.887708405994485e+53
Nodule	65	2.8726495508177503e+54
Nodule	66	2.122616868356029e+55
Nodule	67	1.5684135116819195e+56
Nodule	68	1.1589095424138525e+57
Nodule	69	8.563247622482006e+57
Nodule	70	6.327431707155405e+58
Nodule	71	4.6753747846323825e+59
Nodule	72	3.454660656717448e+60
