metabolites_id,reaction_id,name,reaction_string,subsystem,lower_bound,upper_bound,formula,charge,compartment
cpd02096_c0,rxn02925,L-3-Amino-isobutyrate,cpd00035_c0 + cpd00287_c0 <=> cpd00020_c0 + cpd02096_c0,,-1000.0,1000.0,C4H9NO2,0,c0
cpd00693_c0,rxn02210,D-Lactaldehyde,cpd03674_c0 --> cpd00020_c0 + cpd00693_c0,,0.0,1000.0,C3H6O2,0,c0
cpd00693_c0,ADD_D_Fuc7,D-Lactaldehyde,cpd00001_c0 + cpd00003_c0 + cpd00693_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00221_c0,,-1000.0,1000.0,C3H6O2,0,c0
cpd00066_e0,EXpd00066,L-Phenylalanine,cpd00066_e0 --> ,,0.0,1000.0,C9H11NO2,0,e0
cpd00066_e0,rxn05306,L-Phenylalanine,cpd00066_e0 + cpd00067_e0 <=> cpd00066_c0 + cpd00067_c0,,-1000.0,1000.0,C9H11NO2,0,e0
cpd11512_c0,rxn05375,12-methyl-3-oxo-tetra-decanoyl-ACP,cpd11492_c0 + cpd11511_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11512_c0,,0.0,1000.0,C26H47N2O9PRS,-1,c0
cpd11512_c0,rxn05376,12-methyl-3-oxo-tetra-decanoyl-ACP,cpd00005_c0 + cpd00067_c0 + cpd11512_c0 <=> cpd00006_c0 + cpd11513_c0,,-1000.0,1000.0,C26H47N2O9PRS,-1,c0
cpd15422_c0,rxn09207,"CDP-1,2-ditetradec-7-enoylglycerol",cpd00054_c0 + cpd15422_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15554_c0,,0.0,1000.0,C40H67N3O15P2,-2,c0
cpd15422_c0,rxn09110,"CDP-1,2-ditetradec-7-enoylglycerol",cpd00080_c0 + cpd15422_c0 <=> cpd00046_c0 + cpd15544_c0,,-1000.0,1000.0,C40H67N3O15P2,-2,c0
cpd15422_c0,rxn08308,"CDP-1,2-ditetradec-7-enoylglycerol",cpd00052_c0 + cpd15523_c0 <=> cpd00012_c0 + cpd00067_c0 + cpd15422_c0,,-1000.0,1000.0,C40H67N3O15P2,-2,c0
cpd00226_c0,rxn01297,HYXN,cpd00001_c0 + cpd00003_c0 + cpd00226_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00309_c0,,-1000.0,1000.0,C5H4N4O,0,c0
cpd00226_c0,rxn05201,HYXN,cpd00067_e0 + cpd00226_e0 <=> cpd00067_c0 + cpd00226_c0,,-1000.0,1000.0,C5H4N4O,0,c0
cpd00226_c0,rxn00836,HYXN,cpd00103_c0 + cpd00226_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00114_c0,,0.0,1000.0,C5H4N4O,0,c0
cpd00226_c0,rxn01358,HYXN,cpd00009_c0 + cpd00246_c0 <=> cpd00226_c0 + cpd00475_c0,,-1000.0,1000.0,C5H4N4O,0,c0
cpd15796_c0,rxn10339,Isotetradecanoylcardiolipin (B. subtilis),2.0 cpd15724_c0 <=> cpd00100_c0 + cpd15796_c0,,-1000.0,1000.0,C65H124O17P2,-2,c0
cpd00001_c0,rxn00883,H2O,cpd00001_c0 + cpd02484_c0 --> cpd00009_c0 + cpd00121_c0,,0.0,1000.0,H2O,0,c0
cpd00001_c0,rxn00302,H2O,cpd00001_c0 + cpd00038_c0 --> cpd00067_c0 + cpd03518_c0,,0.0,1000.0,H2O,0,c0
cpd00001_c0,rxn08799,H2O,cpd00001_c0 + cpd15327_c0 <=> 2.0 cpd00067_c0 + cpd00080_c0 + cpd00214_c0,,-1000.0,1000.0,H2O,0,c0
cpd00001_c0,rxn01445,H2O,cpd00001_c0 + cpd00296_c0 --> cpd00009_c0 + cpd00277_c0,,0.0,1000.0,H2O,0,c0
cpd00001_c0,ADD_D_Fuc4,H2O,D_Fucono_σ_lactone_c0 + cpd00001_c0 --> cpd01161_c0,,0.0,1000.0,H2O,0,c0
cpd00001_c0,rxn05147,H2O,cpd00001_c0 + cpd00002_c0 + cpd00027_e0 --> cpd00008_c0 + cpd00009_c0 + cpd00027_c0 + cpd00067_c0,,0.0,1000.0,H2O,0,c0
cpd00001_c0,rxn10481,H2O,cpd00001_c0 + cpd00002_c0 + cpd00058_e0 --> cpd00008_c0 + cpd00009_c0 + cpd00058_c0 + cpd00067_c0,,0.0,1000.0,H2O,0,c0
cpd00001_c0,rxn03247,H2O,cpd03120_c0 <=> cpd00001_c0 + cpd03130_c0,,-1000.0,1000.0,H2O,0,c0
cpd00001_c0,rxn01923,H2O,cpd00007_c0 + 2.0 cpd00481_c0 --> 2.0 cpd00001_c0 + 2.0 cpd02187_c0,,0.0,1000.0,H2O,0,c0
cpd00001_c0,rxn08817,H2O,cpd00001_c0 + cpd15350_c0 <=> 2.0 cpd00067_c0 + cpd00080_c0 + cpd01741_c0,,-1000.0,1000.0,H2O,0,c0
cpd00001_c0,rxn02608,H2O,cpd01161_c0 --> cpd00001_c0 + cpd03674_c0,,0.0,1000.0,H2O,0,c0
cpd00001_c0,rxn01522,H2O,cpd00001_c0 + cpd00003_c0 + cpd00309_c0 --> cpd00004_c0 + cpd00067_c0 + cpd00300_c0,,0.0,1000.0,H2O,0,c0
