Species,Environment,Fraction,Growth_rate,N2_rate_mmol_gDW_h
Sinorhizobium fredii,Bulk soil,0.0,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.1,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.2,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.3,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.4,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.5,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.6,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.7,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.8,0.0,419.2162226330942
Sinorhizobium fredii,Bulk soil,0.9,0.0,419.2162226330942
Sinorhizobium fredii,Rhizosphere,0.0,0.0,419.2445261351178
Sinorhizobium fredii,Rhizosphere,0.1,10.549561009236806,403.6663369553273
Sinorhizobium fredii,Rhizosphere,0.2,21.09912201847361,388.03168363502846
Sinorhizobium fredii,Rhizosphere,0.3,31.648683027710415,372.3970303147459
Sinorhizobium fredii,Rhizosphere,0.4,42.19824403694722,341.9378452876587
Sinorhizobium fredii,Rhizosphere,0.5,52.74780504618403,304.276739115827
Sinorhizobium fredii,Rhizosphere,0.6,63.29736605542083,266.6156329439922
Sinorhizobium fredii,Rhizosphere,0.7,73.84692706465763,228.92193210257
Sinorhizobium fredii,Rhizosphere,0.8,84.39648807389445,190.60834880015267
Sinorhizobium fredii,Rhizosphere,0.9,94.94604908313126,142.01253780507352
Sinorhizobium fredii,Nodule,0.0,0.0,375.23955000000035
Sinorhizobium fredii,Nodule,0.1,0.048295511813379766,374.97701276318463
Sinorhizobium fredii,Nodule,0.2,0.09659102362675953,374.7144755263158
Sinorhizobium fredii,Nodule,0.3,0.1448865354401393,374.45193828947464
Sinorhizobium fredii,Nodule,0.4,0.19318204725351906,374.18940105263215
Sinorhizobium fredii,Nodule,0.5,0.24147755906689883,373.92686381579165
Sinorhizobium fredii,Nodule,0.6,0.2897730708802786,373.66432657894705
Sinorhizobium fredii,Nodule,0.7,0.33806858269365836,373.40178934210456
Sinorhizobium fredii,Nodule,0.8,0.3863640945070381,373.139252105264
Sinorhizobium fredii,Nodule,0.9,0.4346596063204179,372.8767148684228
