Condition	Time (hours)	Biomass (gDW/L)
Bulk	0	0.01
Bulk	1	0.01
Bulk	2	0.01
Bulk	3	0.01
Bulk	4	0.01
Bulk	5	0.01
Bulk	6	0.01
Bulk	7	0.01
Bulk	8	0.01
Bulk	9	0.01
Bulk	10	0.01
Bulk	11	0.01
Bulk	12	0.01
Bulk	13	0.01
Bulk	14	0.01
Bulk	15	0.01
Bulk	16	0.01
Bulk	17	0.01
Bulk	18	0.01
Bulk	19	0.01
Bulk	20	0.01
Bulk	21	0.01
Bulk	22	0.01
Bulk	23	0.01
Bulk	24	0.01
Bulk	25	0.01
Bulk	26	0.01
Bulk	27	0.01
Bulk	28	0.01
Bulk	29	0.01
Bulk	30	0.01
Bulk	31	0.01
Bulk	32	0.01
Bulk	33	0.01
Bulk	34	0.01
Bulk	35	0.01
Bulk	36	0.01
Bulk	37	0.01
Bulk	38	0.01
Bulk	39	0.01
Bulk	40	0.01
Bulk	41	0.01
Bulk	42	0.01
Bulk	43	0.01
Bulk	44	0.01
Bulk	45	0.01
Bulk	46	0.01
Bulk	47	0.01
Bulk	48	0.01
Bulk	49	0.01
Bulk	50	0.01
Bulk	51	0.01
Bulk	52	0.01
Bulk	53	0.01
Bulk	54	0.01
Bulk	55	0.01
Bulk	56	0.01
Bulk	57	0.01
Bulk	58	0.01
Bulk	59	0.01
Bulk	60	0.01
Bulk	61	0.01
Bulk	62	0.01
Bulk	63	0.01
Bulk	64	0.01
Bulk	65	0.01
Bulk	66	0.01
Bulk	67	0.01
Bulk	68	0.01
Bulk	69	0.01
Bulk	70	0.01
Bulk	71	0.01
Bulk	72	0.01
Rhizosphere	0	0.01
Rhizosphere	1	6.548793980869687e+43
Rhizosphere	2	4.2886702603875045e+89
Rhizosphere	3	2.808561798716052e+135
Rhizosphere	4	1.8392692602332223e+181
Rhizosphere	5	1.2044995460613285e+227
Rhizosphere	6	7.888019377207147e+272
Rhizosphere	7	inf
Rhizosphere	8	inf
Rhizosphere	9	inf
Rhizosphere	10	inf
Rhizosphere	11	inf
Rhizosphere	12	inf
Rhizosphere	13	inf
Rhizosphere	14	inf
Rhizosphere	15	inf
Rhizosphere	16	inf
Rhizosphere	17	inf
Rhizosphere	18	inf
Rhizosphere	19	inf
Rhizosphere	20	inf
Rhizosphere	21	inf
Rhizosphere	22	inf
Rhizosphere	23	inf
Rhizosphere	24	inf
Rhizosphere	25	inf
Rhizosphere	26	inf
Rhizosphere	27	inf
Rhizosphere	28	inf
