Reaction ID,Reaction Name,Lower Bound,Upper Bound
r_0325,,-1.38,0.0
r_0326,,-1000.0,1000.0
r_0327,,-1000.0,1000.0
r_0328,,-1000.0,1000.0
r_0329,,-1000.0,1000.0
r_0330,,-1000.0,1000.0
r_0331,,0.0,1000.0
r_0332,,0.0,1000.0
r_0333,,-1000.0,1000.0
r_0334,,-1.26,1000.0
r_0335,,-1000.0,1000.0
r_0336,,-1000.0,1000.0
r_0337,,-2.0,1000.0
r_0338,,-0.01,1000.0
r_0339,,0.0,1000.0
r_0340,,-1.44,1000.0
r_0341,,-1000.0,1000.0
r_0342,,-1000.0,1000.0
r_0343,,-1000.0,1000.0
r_0344,,-1000.0,1000.0
r_0505,,-1000.0,1000.0
r_0510,,-1000.0,1000.0
r_0512,,-1000.0,1000.0
r_0520,,-1000.0,1000.0
r_0530,,0.0,1000.0
r_0534,,0.0,1000.0
r_0902,,-1000.0,1000.0
r_0903,,-1000.0,1000.0
r_0909,,-1000.0,1000.0
r_0910,,0.0,1000.0
r_0912,,0.0,1000.0
r_0913,,0.0,1000.0
r_0915,,0.0,1000.0
r_0916,,0.0,1000.0
r_0919,,0.0,1000.0
r_0924,,0.0,1000.0
r_0925,,0.0,1000.0
r_0926,,0.0,1000.0
r_0927,,0.0,1000.0
r_0928,,0.0,1000.0
r_0935,,0.0,1000.0
r_0938,,0.0,1000.0
r_0940,,-1000.0,1000.0
r_0941,,0.0,1000.0
r_0942,,0.0,1000.0
r_0945,,-1000.0,1000.0
r_0946,,0.0,1000.0
r_0947,,0.0,1000.0
r_0949,,0.0,1000.0
r_0950,,0.0,1000.0
r_0952,,0.0,1000.0
r_0954,,0.0,1000.0
r_0955,,0.0,1000.0
r_0956,,-1000.0,1000.0
r_0957,,0.0,1000.0
r_0958,,0.0,1000.0
r_0960,,0.0,1000.0
r_0961,,-1.0,1000.0
r_0963,,0.0,1000.0
r_0965,,0.0,1000.0
r_0969,,0.0,1000.0
r_0971,,0.0,1000.0
r_0973,,0.0,1000.0
r_0976,,0.0,1000.0
r_0980,,0.0,1000.0
r_0982,,0.0,1000.0
r_0985,,0.0,1000.0
r_0988,,0.0,1000.0
r_0992,,0.0,1000.0
r_0995,,0.0,1000.0
r_0998,,0.0,1000.0
r_1001,,0.0,1000.0
r_1004,,0.0,1000.0
r_1007,,0.0,1000.0
r_1010,,0.0,1000.0
r_1013,,0.0,1000.0
r_1016,,0.0,1000.0
r_1018,,0.0,1000.0
r_1020,,0.0,1000.0
r_1023,,0.0,1000.0
r_1026,,0.0,1000.0
r_1028,,0.0,1000.0
r_1034,,0.0,1000.0
r_1036,,0.0,1000.0
r_1042,,0.0,1000.0
r_1045,,0.0,1000.0
r_1047,,0.0,1000.0
r_1052,,0.0,1000.0
r_1054,,0.0,1000.0
r_1060,,0.0,1000.0
