Condition	Time (hours)	Nitrogen (gDW/L)
Bulk	0	0.01
Bulk	1	1.1568903909733478e+180
Bulk	2	inf
Bulk	3	inf
Bulk	4	inf
Bulk	5	inf
Bulk	6	inf
Bulk	7	inf
Bulk	8	inf
Bulk	9	inf
Bulk	10	inf
Bulk	11	inf
Bulk	12	inf
Bulk	13	inf
Bulk	14	inf
Bulk	15	inf
Bulk	16	inf
Bulk	17	inf
Bulk	18	inf
Bulk	19	inf
Bulk	20	inf
Bulk	21	inf
Bulk	22	inf
Bulk	23	inf
Bulk	24	inf
Bulk	25	inf
Bulk	26	inf
Bulk	27	inf
Bulk	28	inf
Bulk	29	inf
Bulk	30	inf
Bulk	31	inf
Bulk	32	inf
Bulk	33	inf
Bulk	34	inf
Bulk	35	inf
Bulk	36	inf
Bulk	37	inf
Bulk	38	inf
Bulk	39	inf
Bulk	40	inf
Bulk	41	inf
Bulk	42	inf
Bulk	43	inf
Bulk	44	inf
Bulk	45	inf
Bulk	46	inf
Bulk	47	inf
Bulk	48	inf
Bulk	49	inf
Bulk	50	inf
Bulk	51	inf
Bulk	52	inf
Bulk	53	inf
Bulk	54	inf
Bulk	55	inf
Bulk	56	inf
Bulk	57	inf
Bulk	58	inf
Bulk	59	inf
Bulk	60	inf
Bulk	61	inf
Bulk	62	inf
Bulk	63	inf
Bulk	64	inf
Bulk	65	inf
Bulk	66	inf
Bulk	67	inf
Bulk	68	inf
Bulk	69	inf
Bulk	70	inf
Bulk	71	inf
Bulk	72	inf
Rhizosphere	0	0.01
Rhizosphere	1	1.1901022290536856e+180
Rhizosphere	2	inf
Rhizosphere	3	inf
Rhizosphere	4	inf
Rhizosphere	5	inf
Rhizosphere	6	inf
Rhizosphere	7	inf
Rhizosphere	8	inf
Rhizosphere	9	inf
Rhizosphere	10	inf
Rhizosphere	11	inf
Rhizosphere	12	inf
Rhizosphere	13	inf
Rhizosphere	14	inf
Rhizosphere	15	inf
Rhizosphere	16	inf
Rhizosphere	17	inf
Rhizosphere	18	inf
Rhizosphere	19	inf
Rhizosphere	20	inf
Rhizosphere	21	inf
Rhizosphere	22	inf
Rhizosphere	23	inf
Rhizosphere	24	inf
Rhizosphere	25	inf
Rhizosphere	26	inf
Rhizosphere	27	inf
Rhizosphere	28	inf
Rhizosphere	29	inf
Rhizosphere	30	inf
Rhizosphere	31	inf
Rhizosphere	32	inf
Rhizosphere	33	inf
Rhizosphere	34	inf
Rhizosphere	35	inf
Rhizosphere	36	inf
Rhizosphere	37	inf
Rhizosphere	38	inf
Rhizosphere	39	inf
Rhizosphere	40	inf
Rhizosphere	41	inf
Rhizosphere	42	inf
Rhizosphere	43	inf
Rhizosphere	44	inf
Rhizosphere	45	inf
Rhizosphere	46	inf
Rhizosphere	47	inf
Rhizosphere	48	inf
Rhizosphere	49	inf
Rhizosphere	50	inf
Rhizosphere	51	inf
Rhizosphere	52	inf
Rhizosphere	53	inf
Rhizosphere	54	inf
Rhizosphere	55	inf
Rhizosphere	56	inf
Rhizosphere	57	inf
Rhizosphere	58	inf
Rhizosphere	59	inf
Rhizosphere	60	inf
Rhizosphere	61	inf
Rhizosphere	62	inf
Rhizosphere	63	inf
Rhizosphere	64	inf
Rhizosphere	65	inf
Rhizosphere	66	inf
Rhizosphere	67	inf
Rhizosphere	68	inf
Rhizosphere	69	inf
Rhizosphere	70	inf
Rhizosphere	71	inf
Rhizosphere	72	inf
Nodule	0	0.01
Nodule	1	9.21437656960443e+160
Nodule	2	inf
Nodule	3	inf
Nodule	4	inf
Nodule	5	inf
Nodule	6	inf
Nodule	7	inf
Nodule	8	inf
Nodule	9	inf
Nodule	10	inf
Nodule	11	inf
Nodule	12	inf
Nodule	13	inf
Nodule	14	inf
Nodule	15	inf
Nodule	16	inf
Nodule	17	inf
Nodule	18	inf
Nodule	19	inf
Nodule	20	inf
Nodule	21	inf
Nodule	22	inf
Nodule	23	inf
Nodule	24	inf
Nodule	25	inf
Nodule	26	inf
Nodule	27	inf
Nodule	28	inf
Nodule	29	inf
Nodule	30	inf
Nodule	31	inf
Nodule	32	inf
Nodule	33	inf
Nodule	34	inf
Nodule	35	inf
Nodule	36	inf
Nodule	37	inf
Nodule	38	inf
Nodule	39	inf
Nodule	40	inf
Nodule	41	inf
Nodule	42	inf
Nodule	43	inf
Nodule	44	inf
Nodule	45	inf
Nodule	46	inf
Nodule	47	inf
Nodule	48	inf
Nodule	49	inf
Nodule	50	inf
Nodule	51	inf
Nodule	52	inf
Nodule	53	inf
Nodule	54	inf
Nodule	55	inf
Nodule	56	inf
Nodule	57	inf
Nodule	58	inf
Nodule	59	inf
Nodule	60	inf
Nodule	61	inf
Nodule	62	inf
Nodule	63	inf
Nodule	64	inf
Nodule	65	inf
Nodule	66	inf
Nodule	67	inf
Nodule	68	inf
Nodule	69	inf
Nodule	70	inf
Nodule	71	inf
Nodule	72	inf
