current_id,name,formula,charge,compartment
atp[c],ATP,C10H13N5O13P3,-4,c
g1p[c],D-Glucose 1-phosphate,C6H12O9P,-2,c
h[c],H+,H,1,c
ppi[c],pyrophosphate,HO7P2,-3,c
adpglc[c],ADPglucose,C16H23N5O15P2,-2,c
h2o[c],H2O,H2O,0,c
gln__L[c],L-Glutamine,C5H10N2O3,0,c
glu__L[c],L-Glutamate,C5H8NO4,-1,c
nh3[c],Ammonia,H3N,0,c
nadh[c],Nicotinamide adenine dinucleotide - reduced,C21H27N7O14P2,-2,c
aacoa[c],Acetoacetyl-CoA,C25H37N7O18P3S,-3,c
nad[c],Nicotinamide adenine dinucleotide,C21H26N7O14P2,-1,c
3hbcoa[c],(S)-3-Hydroxybutanoyl-CoA,C25H39N7O18P3S,-3,c
s[c],sulfur atom,S,0,c
fe2[c],Fe2+,Fe,2,c
Iron[c],Iron sulfur cluster,Fe2S2,0,c
nadph[c],Nicotinamide adenine dinucleotide phosphate - reduced,C21H27N7O17P3,-3,c
3odecACP[c],3-Oxodecanoyl-[acyl-carrier protein],C21H36N2O8PSR,-1,c
nadp[c],Nicotinamide adenine dinucleotide phosphate,C21H26N7O17P3,-2,c
3hdecACP[c],(R)-3-Hydroxydecanoyl-[acyl-carrier protein],C21H38N2O8PSR,-1,c
coa[c],Coenzyme A,C21H33N7O16P3S,-3,c
hdca[c],Hexadecanoate (n-C16:0),C16H31O2,-1,c
amp[c],AMP,C10H13N5O7P,-1,c
pmtcoa[c],Palmitoyl-CoA (n-C16:0CoA),C37H63N7O17P3S,-3,c
duri[c],Deoxyuridine,C9H12N2O5,0,c
pi[c],orthophosphate,HO4P,-2,c
2dr1p[c],2-Deoxy-D-ribose 1-phosphate,C5H10O7P,-1,c
ura[c],Uracil,C4H4N2O2,0,c
g6p[c],D-Glucose 6-phosphate,C6H12O9P,-1,c
6pgl[c],"6-phospho-D-glucono-1,5-lactone",C6H10O9P,-1,c
3c4mop[c],(2S)-2-Isopropyl-3-oxosuccinate,C7H8O5,-2,c
co2[c],CO2,CO2,0,c
4mop[c],4-Methyl-2-oxopentanoate,C6H9O3,-1,c
ahcys[c],S-Adenosyl-L-homocysteine,C14H20N6O5S,0,c
hcys__L[c],L-Homocysteine,C4H9NO2S,0,c
adn[c],Adenosine,C10H13N5O4,0,c
ac[c],Acetate,C2H3O2,-1,c
dmbzid[c],"5,6-Dimethylbenzimidazole",C9H10N2,0,c
nicrnt[c],Nicotinate D-ribonucleotide,C11H13NO9P,-1,c
5prdmbz[c],"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",C14H18N2O7P,-1,c
nac[c],Nicotinate,C6H4NO2,-1,c
orot5p[c],Orotidine 5-phosphate,C10H11N2O11P,-2,c
orot[c],Orotate,C5H3N2O4,-1,c
3htdcoa[c],(S)-3-Hydroxytetradecanoyl-CoA,C35H59N7O18P3S,-3,c
3otdcoa[c],3-Oxotetradecanoyl-CoA,C35H57N7O18P3S,-3,c
ser__L[c],L-Serine,C3H7NO3,0,c
cyst__L[c],L-Cystathionine,C7H14N2O4S,0,c
o2[c],O2,O2,0,c
thbpt[c],Tetrahydrobiopterin,C9H15N5O3,0,c
phe__L[c],L-Phenylalanine,C9H11NO2,0,c
tyr__L[c],L-Tyrosine,C9H11NO3,0,c
dhbpt[c],"6,7-Dihydrobiopterin",C9H13N5O3,0,c
xu5p__D[c],D-Xylulose 5-phosphate,C5H10O8P,-1,c
r5p[c],alpha-D-Ribose 5-phosphate,C5H10O8P,-1,c
g3p[c],Glyceraldehyde 3-phosphate,C3H6O6P,-1,c
s7p[c],Sedoheptulose 7-phosphate,C7H14O10P,-1,c
csn[c],Cytosine,C4H5N3O,0,c
3c2hmp[c],"(2R,3S)-3-Isopropylmalate",C7H10O5,-2,c
dgtp[c],dGTP,C10H13N5O13P3,-3,c
pppi[c],triphosphate,HO10P3,-4,c
dgsn[c],Deoxyguanosine,C10H13N5O4,0,c
d5kg[c],2-Deoxy-5-keto-D-gluconic acid,C6H9O6,-1,c
adp[c],ADP,C10H13N5O10P2,-2,c
d5kgp[c],2-Deoxy-5-keto-D-gluconic acid 6-phosphate,C6H9O9P,-2,c
gdp[c],GDP,C10H13N5O11P2,-2,c
gtp[c],GTP,C10H13N5O14P3,-3,c
dcdp[c],dCDP,C9H13N3O10P2,-2,c
dctp[c],dCTP,C9H13N3O13P3,-3,c
qh2[c],Ubiquinol,C19H28O4,0,c
q[c],Ubiquinone,C19H26O4,0,c
h[e],H+,H,1,e
4pasp[c],4-Phospho-L-aspartate,C4H7NO7P,-1,c
aspsa[c],L-Aspartate 4-semialdehyde,C4H7NO3,0,c
10fthf[c],10-Formyltetrahydrofolate,C20H21N7O7,-2,c
thf[c],"5,6,7,8-Tetrahydrofolate",C19H21N7O6,-2,c
for[c],Formate,CHO2,-1,c
ru5p__D[c],D-Ribulose 5-phosphate,C5H10O8P,-1,c
cdp[c],CDP,C9H13N3O11P2,-2,c
trdrd[c],Reduced thioredoxin,H2R,0,c
trdox[c],Oxidized thioredoxin,R,0,c
3hdcoa[c],(S)-3-Hydroxydecanoyl-CoA,C31H51N7O18P3S,-3,c
dc2coa[c],trans-Dec-2-enoyl-CoA,C31H49N7O17P3S,-3,c
asp__L[c],L-Aspartate,C4H6NO4,-1,c
fum[c],Fumarate,C4H2O4,-2,c
glu5sa[c],L-Glutamate 5-semialdehyde,C5H9NO3,0,c
1pyr5c[c],1-Pyrroline-5-carboxylate,C5H6NO2,-1,c
dxyl5p[c],1-deoxy-D-xylulose 5-phosphate,C5H10O7P,-1,c
2me4p[c],2-C-methyl-D-erythritol 4-phosphate,C5H12O7P,-1,c
mal__L[e],L-Malate,C4H4O5,-2,e
mal__L[c],L-Malate,C4H4O5,-2,c
cbi[c],Cobinamide,C48H73N11O8Co,3,c
adocbi[c],Adenosyl cobinamide,C58H85N16O11Co,2,c
3ig3p[c],C-(3-Indolyl)-glycerol 3-phosphate,C11H13NO6P,-1,c
indole[c],Indole,C8H7N,0,c
3mop[c],(S)-3-Methyl-2-oxopentanoate,C6H9O3,-1,c
akg[c],2-Oxoglutarate,C5H4O5,-2,c
ile__L[c],L-Isoleucine,C6H13NO2,0,c
2dda7p[c],2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C7H11O10P,-2,c
3dhq[c],3-Dehydroquinate,C7H9O6,-1,c
pyr[c],Pyruvate,C3H3O3,-1,c
trp__L[c],L-Tryptophan,C11H12N2O2,0,c
adhlam[c],S-Acetyldihydrolipoamide,C10H19NO2S2,0,c
dhlam[c],Dihydrolipoamide (pyruvate dehydrogenase),C8H17NOS2,0,c
fdxrd[c],ferredoxin (reduced) 2[4Fe-4S],R,5,c
fdxox[c],ferredoxin (oxidized) 2[4Fe-4S],R,6,c
hco3[c],Carbonic acid,CHO3,-1,c
met__L[c],L-Methionine,C5H11NO2S,0,c
amet[c],S-Adenosyl-L-methionine,C15H23N6O5S,1,c
6hmhpt[c],6-hydroxymethyl dihydropterin,C7H9N5O2,0,c
6hmhptpp[c],6-hydroxymethyl-dihydropterin pyrophosphate,C7H9N5O8P2,-2,c
thr__L[c],L-Threonine,C4H9NO3,0,c
2obut[c],2-Oxobutanoate,C4H5O3,-1,c
6r5au[c],6-(1-D-Ribitylamino)-5-aminouracil,C9H16N4O6,0,c
db4p[c],"3,4-dihydroxy-2-butanone 4-phosphate",C4H8O6P,-1,c
dmlz[c],"6,7-Dimethyl-8-(1-D-ribityl)lumazine",C13H18N4O6,0,c
rnam[c],N-Ribosylnicotinamide,C11H15N2O5,1,c
ncam[c],Nicotinamide,C6H6N2O,0,c
rib__D[c],D-Ribose,C5H10O5,0,c
3hhexACP[c],(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C17H30N2O8PSR,-1,c
thex2eACP[c],trans-Hex-2-enoyl-[acyl-carrier protein],C17H28N2O7PSR,-1,c
n2[e],nitrogen,N2,0,e
n2[c],nitrogen,N2,0,c
56dura[c],"5,6-dihydrouracil",C4H6N2O2,0,c
cala[c],N-Carbamoyl-beta-alanine,C4H7N2O3,-1,c
dhor__S[c],(S)-Dihydroorotate,C5H5N2O4,-1,c
cbasp[c],N-Carbamoyl-L-aspartate,C5H6N2O5,-2,c
b2coa[c],Crotonoyl-CoA,C25H37N7O17P3S,-3,c
56dthm[c],"5,6-Dihydrothymine",C5H8N2O2,0,c
3uib[c],3-Ureidoisobutyrate,C5H9N2O3,-1,c
pdx5p[c],Pyridoxine 5-phosphate,C8H11NO6P,-1,c
pydx5p[c],Pyridoxal 5-phosphate,C8H9NO6P,-1,c
h2o2[c],Hydrogen peroxide,H2O2,0,c
adocbip[c],Adenosyl cobinamide phosphate,C58H84N16O14PCo,0,c
pep[c],Phosphoenolpyruvate,C3H3O6P,-2,c
hom__L[c],L-Homoserine,C4H9NO3,0,c
succoa[c],Succinyl-CoA,C25H36N7O19P3S,-4,c
suchms[c],O-Succinyl-L-homoserine,C8H12NO6,-1,c
2mecdp[c],"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C5H10O9P2,-2,c
h2mb4p[c],1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate,C5H10O8P2,-2,c
4izp[c],4-Imidazolone-5-propanoate,C6H7N2O3,-1,c
skm[c],Shikimate,C7H9O5,-1,c
skm5p[c],Shikimate 5-phosphate,C7H9O8P,-2,c
acorn[c],N2-Acetyl-L-ornithine,C7H14N2O3,0,c
acglu[c],N-Acetyl-L-glutamate,C7H9NO5,-2,c
orn[c],Ornithine,C5H13N2O2,1,c
gly[c],Glycine,C2H5NO2,0,c
acald[c],Acetaldehyde,C2H4O,0,c
3hocoa[c],(S)-3-Hydroxyoctanoyl-CoA,C29H47N7O18P3S,-3,c
3oocoa[c],3-Oxooctanoyl-CoA,C29H45N7O18P3S,-3,c
3psme[c],5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C10H10O10P,-3,c
chor[c],chorismate,C10H8O6,-2,c
glu5p[c],L-Glutamate 5-phosphate,C5H9NO7P,-1,c
fmn[c],FMN,C17H20N4O9P,-1,c
ribflv[c],Riboflavin,C17H20N4O6,0,c
pydam[c],Pyridoxamine,C8H13N2O2,1,c
pyam5p[c],Pyridoxamine 5-phosphate,C8H13N2O5P,0,c
ump[c],UMP,C9H12N2O9P,-1,c
cys__L[c],L-Cysteine,C3H7NO2S,0,c
glucys[c],gamma-L-Glutamyl-L-cysteine,C8H13N2O5S,-1,c
gsn[c],Guanosine,C10H13N5O5,0,c
gua[c],Guanine,C5H5N5O,0,c
r1p[c],alpha-D-Ribose 1-phosphate,C5H10O8P,-1,c
imacp[c],3-(Imidazol-4-yl)-2-oxopropyl phosphate,C6H8N2O5P,-1,c
hisp[c],L-Histidinol phosphate,C6H12N3O4P,0,c
2dhp[c],2-Dehydropantoate,C6H9O4,-1,c
pant__R[c],(R)-Pantoate,C6H11O4,-1,c
pram[c],5-Phospho-beta-D-ribosylamine,C5H12NO7P,0,c
gar[c],N1-(5-Phospho-D-ribosyl)glycinamide,C7H15N2O8P,0,c
myrsACP[c],Myristoyl-ACP (n-C14:0ACP),C25H46N2O7PSR,-1,c
malACP[c],Malonyl_ACP,C14H21N2O9PSR,-2,c
ACP[c],acyl carrier protein,C11H20N2O6PSR,-1,c
3opalmACP[c],3-Oxohexadecanoyl-[acyl-carrier protein],C27H48N2O8PSR,-1,c
imp[c],IMP,C10H12N4O8P,-1,c
xmp[c],Xanthosine 5-phosphate,C10H12N4O9P,-1,c
ipdp[c],Isopentenyl diphosphate,C5H10O7P2,-2,c
dudp[c],dUDP,C9H12N2O11P2,-2,c
dutp[c],dUTP,C9H12N2O14P3,-3,c
ctp[c],CTP,C9H13N3O14P3,-3,c
34hpp[c],3-(4-Hydroxyphenyl)pyruvate,C9H7O4,-1,c
ppp9[c],Protoporphyrin,C34H32N4O4,-2,c
pheme[c],Protoheme,C34H30N4O4Fe,-2,c
23dhmb[c],"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,-1,c
alac__S[c],(S)-2-Acetolactate,C5H7O4,-1,c
3hhdcoa[c],(S)-3-Hydroxyhexadecanoyl-CoA,C37H63N7O18P3S,-3,c
hdd2coa[c],trans-Hexadec-2-enoyl-CoA,C37H61N7O17P3S,-3,c
3mob[c],3-Methyl-2-oxobutanoate,C5H7O3,-1,c
3c3hmp[c],3-Carboxy-3-hydroxy-4-methylpentanoate,C7H10O5,-2,c
e4p[c],D-Erythrose 4-phosphate,C4H8O7P,-1,c
4per[c],4-Phospho-D-erythronate,C4H7O8P,-2,c
pphn[c],Prephenate,C10H8O6,-2,c
phpyr[c],Phenylpyruvate,C9H7O3,-1,c
ptrc[c],Putrescine,C4H14N2,2,c
acACP[c],Acetyl-ACP,C13H22N2O7PSR,-1,c
actACP[c],Acetoacetyl-ACP,C15H24N2O8PSR,-1,c
glu__L[e],L_Glutamate,C5H8NO4,-1,e
inost[c],myo-Inositol,C6H12O6,0,c
inost[e],myo-Inositol,C6H12O6,0,e
succ[c],Succinate,C4H4O4,-2,c
fad[c],Flavin adenine dinucleotide oxidized,C27H31N9O15P2,-2,c
fadh2[c],Flavin adenine dinucleotide reduced,C27H33N9O15P2,-2,c
utp[c],UTP,C9H12N2O15P3,-3,c
rna[c],RNA,,-3,c
dhap[c],Dihydroxyacetone phosphate,C3H6O6P,-1,c
gmp[c],GMP,C10H13N5O8P,-1,c
dgdp[c],dGDP,C10H13N5O10P2,-2,c
25aics[c],(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H16N4O12P,-3,c
aicar[c],5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,C9H14N4O8P,-1,c
histd[c],L-Histidinol,C6H12N3O,1,c
his__L[c],L-Histidine,C6H9N3O2,0,c
dump[c],dUMP,C9H12N2O8P,-1,c
acg5p[c],N-Acetyl-L-glutamyl 5-phosphate,C7H10NO8P,-2,c
dnad[c],Deamino-NAD+,C21H24N6O15P2,-2,c
2ahethmpp[c],Hydroxy ethyl Thiamin diphosphate,C14H21N4O8P2S,-1,c
thmpp[c],Thiamine diphosphate,C12H17N4O7P2S,-1,c
ins[c],Inosine,C10H12N4O5,0,c
hxan[c],Hypoxanthine,C5H4N4O,0,c
urcan[c],Urocanate,C6H5N2O2,-1,c
pydxn[c],Pyridoxine,C8H11NO3,0,c
xan[c],Xanthine,C5H4N4O2,0,c
succ[e],Succinate,C4H4O4,-2,e
ala__L[c],L-Alanine,C3H7NO2,0,c
dad_2[c],Deoxyadenosine,C10H13N5O3,0,c
ade[c],Adenine,C5H5N5,0,c
dhnpt[c],Dihydroneopterin,C9H13N5O4,0,c
26dap__M[c],"meso-2,6-Diaminoheptanedioate",C7H14N2O4,0,c
lys__L[c],L-Lysine,C6H15N2O2,1,c
nh3[e],Ammonia,H3N,0,e
5aprbu[c],5-Amino-6-(5-phosphoribitylamino)uracil,C9H16N4O9P,-1,c
3dhsk[c],3-Dehydroshikimate,C7H7O5,-1,c
asn__L[c],L-Asparagine,C4H8N2O3,0,c
tmrs2eACP[c],trans-Tetradec-2-enoyl-[acyl-carrier protein],C25H44N2O7PSR,-1,c
2ahbut[c],(S)-2-Aceto-2-hydroxybutanoate,C6H9O4,-1,c
gcald[c],Glycolaldehyde,C2H4O2,0,c
oaa[c],Oxaloacetate,C4H2O5,-2,c
cit[c],Citrate,C6H5O7,-3,c
