metabolites_id,reaction_id,name,reaction_string,subsystem,lower_bound,upper_bound,formula,charge,compartment
atp[c],r_0011,ATP,ac[c] + atp[c] + coa[c] + h[c] --> accoa[c] + amp[c] + ppi[c],Glycolysis / Gluconeogenesis,0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0268,ATP,atp[c] + cys__L[c] + dxyl5p[c] + tyr__L[c] --> 4hba[c] + 4mpetz[c] + ala__L[c] + amp[c] + co2[c] + h2o[c] + ppi[c],Thiamine Metabolism,0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0725,ATP,2dr5p[c] + adp[c] <=> 5drib[c] + atp[c],Pentose Phosphate Pathway,-1000.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0299,ATP,atp[c] + h2o[c] + homocitrate[e] <=> adp[c] + h[c] + homocitrate[c] + pi[c],Transport,-1000.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0378,ATP,atp[c] + ser__L[c] + trnaser[c] --> amp[c] + ppi[c] + sertrna[c],Aminoacyl-tRNA biosynthesis,0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0465,ATP,atp[c] + h[c] + leu__L[c] + trnaleu[c] --> amp[c] + leutrna[c] + ppi[c],"Valine, Leucine and Isoleucine Biosynthesis",0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0626,ATP,atp[c] + dump[c] --> adp[c] + dudp[c],Pyrimidine Metabolism,0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0667,ATP,atp[c] + cdg[c] + nh3[c] --> adp[c] + h2o[c] + pi[c] + preq0[c],Folate Biosynthesis,0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0742,ATP,atp[c] --> adp[c],[],0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0098,ATP,atp[c] + gmp[c] <=> adp[c] + gdp[c],Purine Metabolism,-1000.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0437,ATP,asp__L[c] + atp[c] + h[c] + trnaasp[c] --> amp[c] + asptrna[c] + ppi[c],"Alanine, Aspartate and Glutamate metabolism",0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0752,ATP,atp[c] + lipidAds[c] --> adp[c] + tetdglu16d14bis[c],Lipopolysaccharide biosynthesis,0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0247,ATP,atp[c] + cbl1[c] <=> adocbl[c] + pppi[c],Porphyrin and Chlorophyll Metabolism,-1000.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0266,ATP,asp__L[c] + atp[c] + citr__L[c] --> amp[c] + argsuc[c] + ppi[c],"Alanine, Aspartate and Glutamate metabolism",0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0253,ATP,atp[c] + thymd[c] --> adp[c] + dtmp[c],Pyrimidine Metabolism,0.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0296,ATP,atp[c] + udp[c] <=> adp[c] + utp[c],Pyrimidine Metabolism,-1000.0,1000.0,C10H13N5O13P3,-4,c
atp[c],r_0531,ATP,atp[c] + h2o[c] + zn2[e] --> adp[c] + h[c] + pi[c] + zn2[c],Transport,0.0,1000.0,C10H13N5O13P3,-4,c
