Objective
=========
1.0 BIOMASS_0508 = 0.9528115434140285

Uptake
------
    Metabolite Reaction     Flux  C-Number C-Flux
       succ[e]   r_0325     1.38         4 10.44%
homocitrate[e]   r_0326 0.007782         7  0.10%
        fe2[e]   r_0327  0.03891         0  0.00%
         n2[e]   r_0328   0.3891         0  0.00%
         pi[e]   r_0330  0.03113         0  0.00%
        so4[e]   r_0333  0.04669         0  0.00%
         o2[e]   r_0334   0.4124         0  0.00%
        h2o[e]   r_0335   0.1906         0  0.00%
          h[e]   r_0336    7.687         0  0.00%
     glu__L[e]   r_0337        2         5 18.91%
      inost[e]   r_0338     0.01         6  0.11%
     mal__L[e]   r_0340     1.44         4 10.89%
        mg2[e]   r_0341 0.007782         0  0.00%
       cbl1[e]   r_0342 0.007782        62  0.91%
       mobd[e]   r_0343 0.007782         0  0.00%
        thm[e]   r_0344 0.007782        12  0.18%
        zn2[e]   r_0510 0.007782         0  0.00%
         pl[c]   r_0902  0.02335         5  0.22%
    ecto__L[c]   r_0940    5.131         6 58.23%

Secretion
---------
          Metabolite Reaction    Flux  C-Number C-Flux
              co2[e]   r_0329   -8.64         1 78.73%
           ala__L[e]   r_0331 -0.7782         3 21.27%
              nh3[e]   r_0332  -1.196         0  0.00%
         fixedNH3[e]   r_0505 -0.7782         0  0.00%
               h2[e]   r_0512 -0.3891         0  0.00%
Symbiotic_product[c]   r_0530 -0.9528         0  0.00%
