current_id,name,reaction_string,subsystem,lower_bound,upper_bound
r_0001,,atp[c] + g1p[c] --> adpglc[c] + ppi[c],Glycolysis / Gluconeogenesis,0.0,1000.0
r_0002,,gln__L[c] + h2o[c] --> glu__L[c] + h[c] + nh3[c],Nitrogen Metabolism,0.0,1000.0
r_0003,,aacoa[c] + h[c] + nadh[c] <=> 3hbcoa[c] + nad[c],Fatty Acid Metabolism,-1000.0,1000.0
r_0004,,4.0 fe2[c] + 4.0 s[c] --> Iron[c],Sulfur Metabolism; Symbiosis,0.0,1000.0
r_0005,,3odecACP[c] + h[c] + nadph[c] <=> 3hdecACP[c] + nadp[c],Fatty Acid Biosynthesis,-1000.0,1000.0
r_0006,,atp[c] + coa[c] + h[c] + hdca[c] <=> amp[c] + pmtcoa[c] + ppi[c],Fatty Acid Metabolism,-1000.0,1000.0
r_0007,,duri[c] + h[c] + pi[c] <=> 2dr1p[c] + ura[c],Pyrimidine Metabolism,-1000.0,1000.0
r_0008,,g6p[c] + nadp[c] --> 6pgl[c] + h[c] + nadph[c],Pentose Phosphate Pathway,0.0,1000.0
r_0009,,3c4mop[c] + h[c] --> 4mop[c] + co2[c],"Valine, Leucine and Isoleucine Biosynthesis",0.0,1000.0
r_0010,,ahcys[c] + h2o[c] <=> adn[c] + hcys__L[c],Cysteine and Methionine Metabolism,-1000.0,1000.0
r_0011,,ac[c] + atp[c] + coa[c] + h[c] --> accoa[c] + amp[c] + ppi[c],Glycolysis / Gluconeogenesis,0.0,1000.0
r_0012,,dmbzid[c] + nicrnt[c] --> 5prdmbz[c] + h[c] + nac[c],Porphyrin Metabolism,0.0,1000.0
r_0013,,orot5p[c] + ppi[c] <=> orot[c] + prpp[c],Pyrimidine Metabolism,-1000.0,1000.0
r_0014,,3htdcoa[c] + nad[c] <=> 3otdcoa[c] + h[c] + nadh[c],Fatty Acid Metabolism,-1000.0,1000.0
r_0015,,hcys__L[c] + ser__L[c] --> cyst__L[c] + h2o[c],"Glycine, Serine, and Threonine Metabolism",0.0,1000.0
r_0016,,o2[c] + phe__L[c] + thbpt[c] --> dhbpt[c] + h2o[c] + tyr__L[c],Phenylalanine Tyrosine Tryptophan Biosynthesis,0.0,1000.0
r_0017,,r5p[c] + xu5p__D[c] <=> g3p[c] + s7p[c],Pentose Phosphate Pathway,-1000.0,1000.0
r_0018,,csn[c] + h2o[c] --> nh3[c] + ura[c],Pyrimidine Metabolism,0.0,1000.0
r_0019,,3c2hmp[c] + nad[c] <=> 3c4mop[c] + h[c] + nadh[c],"Valine, Leucine and Isoleucine Biosynthesis",-1000.0,1000.0
r_0020,,dgtp[c] + h2o[c] <=> dgsn[c] + h[c] + pppi[c],Purine Metabolism,-1000.0,1000.0
r_0021,,atp[c] + d5kg[c] --> adp[c] + d5kgp[c],Inositol Phosphate Metabolism,0.0,1000.0
r_0022,,atp[c] + gdp[c] <=> adp[c] + gtp[c],Purine Metabolism,-1000.0,1000.0
r_0023,,atp[c] + dcdp[c] <=> adp[c] + dctp[c],Pyrimidine Metabolism,-1000.0,1000.0
r_0024,,2.0 h[c] + o2[c] + 2.0 qh2[c] --> 2.0 h2o[c] + 2.0 h[e] + 2.0 q[c],Oxidative Phosphorylation,0.0,1000.0
r_0025,,4pasp[c] + nadph[c] --> aspsa[c] + nadp[c] + pi[c],"Glycine, Serine, and Threonine Metabolism",0.0,1000.0
r_0026,,10fthf[c] + h2o[c] --> for[c] + h[c] + thf[c],One carbon pool by folate,0.0,1000.0
