Environment,Fraction,Growth_rate,N2_rate_mmol_gDW_h
Rhizosphere,0.0,0.0,419.2445261351178
Rhizosphere,0.1,10.549561009236806,403.6663369553273
Rhizosphere,0.2,21.09912201847361,388.03168363502846
Rhizosphere,0.3,31.648683027710415,372.3970303147459
Rhizosphere,0.4,42.19824403694722,341.9378452876587
Rhizosphere,0.5,52.74780504618403,304.276739115827
Rhizosphere,0.6,63.29736605542083,266.6156329439922
Rhizosphere,0.7,73.84692706465763,228.92193210257
Rhizosphere,0.8,84.39648807389445,190.60834880015267
Rhizosphere,0.9,94.94604908313126,142.01253780507352
