Condition	Time (hours)	Biomass (gDW/L)
Bulk	0	0.01
Bulk	1	0.05060089611018814
Bulk	2	0.2560450687154053
Bulk	3	1.2956109921594208
Bulk	4	6.555907721347661
Bulk	5	33.173480551589314
Bulk	6	167.86078430043187
Bulk	7	849.3906107360843
Bulk	8	4297.992605082588
Bulk	9	21748.227729214104
Bulk	10	110047.98119066746
Bulk	11	556852.6463364896
Bulk	12	2817724.2905956116
Bulk	13	14257937.409558194
Bulk	14	72146440.96066183
Bulk	15	365067456.377028
Bulk	16	1847274043.3344612
Bulk	17	9347372195.381414
Bulk	18	47298540936.175735
Bulk	19	239334855607.49063
Bulk	20	1211055816414.1497
Bulk	21	6128050955001.14
Bulk	22	31008486973195.152
Bulk	23	156905722786477.94
Bulk	24	793957017781254.1
Bulk	25	4017493657270399.0
Bulk	26	2.03288779174879e+16
Bulk	27	1.0286594395395019e+17
Bulk	28	5.2051089432902624e+17
Bulk	29	2.633831768816433e+18
Bulk	30	1.3327424770559322e+19
Bulk	31	6.743796362314196e+19
Bulk	32	3.412421391177249e+20
Bulk	33	1.7267158029914344e+21
Bulk	34	8.737336695898956e+21
Bulk	35	4.42117066428917e+22
Bulk	36	2.237151974691091e+23
Bulk	37	1.13201894654046e+24
Bulk	38	5.728117310865838e+24
Bulk	39	2.898478689540922e+25
Bulk	40	1.4666561904705426e+26
Bulk	41	7.421411752336469e+26
Bulk	42	3.7553008507090383e+27
Bulk	43	1.9002158820923031e+28
Bulk	44	9.615262643668135e+28
Bulk	45	4.865409061044271e+29
Bulk	46	2.4619405843147063e+30
Bulk	47	1.245763997363633e+31
Bulk	48	6.303677460841026e+31
Bulk	49	3.1897172830814867e+32
Bulk	50	1.6140255286207883e+33
Bulk	51	8.167113809293132e+33
Bulk	52	4.1326327738412716e+34
Bulk	53	2.0911492165070204e+35
Bulk	54	1.058140242553722e+36
Bulk	55	5.354284448347048e+36
Bulk	56	2.7093159111520275e+37
Bulk	57	1.3709381294988427e+38
Bulk	58	6.9370697864267e+38
Bulk	59	3.510219475720996e+39
Bulk	60	1.7762025101491823e+40
Bulk	61	8.987743868671343e+40
Bulk	62	4.547878937636217e+41
Bulk	63	2.3012674964504116e+42
Bulk	64	1.164461975096407e+43
Bulk	65	5.892281942611814e+43
Bulk	66	2.981547464300354e+44
Bulk	67	1.50868973488658e+45
Bulk	68	7.634105253750248e+45
Bulk	69	3.862925668392601e+46
Bulk	70	1.9546750042771144e+47
Bulk	71	9.89083068206084e+47
