Condition	Time (hours)	Nitrogen (gDW/L)
Bulk	0	0.01
Bulk	1	0.01
Bulk	2	0.01
Bulk	3	0.01
Bulk	4	0.01
Bulk	5	0.01
Bulk	6	0.01
Bulk	7	0.01
Bulk	8	0.01
Bulk	9	0.01
Bulk	10	0.01
Bulk	11	0.01
Bulk	12	0.01
Bulk	13	0.01
Bulk	14	0.01
Bulk	15	0.01
Bulk	16	0.01
Bulk	17	0.01
Bulk	18	0.01
Bulk	19	0.01
Bulk	20	0.01
Bulk	21	0.01
Bulk	22	0.01
Bulk	23	0.01
Bulk	24	0.01
Bulk	25	0.01
Bulk	26	0.01
Bulk	27	0.01
Bulk	28	0.01
Bulk	29	0.01
Bulk	30	0.01
Bulk	31	0.01
Bulk	32	0.01
Bulk	33	0.01
Bulk	34	0.01
Bulk	35	0.01
Bulk	36	0.01
Bulk	37	0.01
Bulk	38	0.01
Bulk	39	0.01
Bulk	40	0.01
Bulk	41	0.01
Bulk	42	0.01
Bulk	43	0.01
Bulk	44	0.01
Bulk	45	0.01
Bulk	46	0.01
Bulk	47	0.01
Bulk	48	0.01
Bulk	49	0.01
Bulk	50	0.01
Bulk	51	0.01
Bulk	52	0.01
Bulk	53	0.01
Bulk	54	0.01
Bulk	55	0.01
Bulk	56	0.01
Bulk	57	0.01
Bulk	58	0.01
Bulk	59	0.01
Bulk	60	0.01
Bulk	61	0.01
Bulk	62	0.01
Bulk	63	0.01
Bulk	64	0.01
Bulk	65	0.01
Bulk	66	0.01
Bulk	67	0.01
Bulk	68	0.01
Bulk	69	0.01
Bulk	70	0.01
Bulk	71	0.01
Bulk	72	0.01
Rhizosphere	0	0.01
Rhizosphere	1	0.3449873742753157
Rhizosphere	2	11.901628840937672
Rhizosphere	3	410.5911683434453
Rhizosphere	4	14164.876906743937
Rhizosphere	5	488670.36909906386
Rhizosphere	6	16858510.752163548
Rhizosphere	7	581597335.858108
Rhizosphere	8	20064373778.320766
Rhizosphere	9	692195562626.1378
Rhizosphere	10	23879872963541.535
Rhizosphere	11	823825467172029.8
Rhizosphere	12	2.842093847808139e+16
Rhizosphere	13	9.80486493999359e+17
Rhizosphere	14	3.3825546107724902e+19
Rhizosphere	15	1.1669386335132641e+21
Rhizosphere	16	4.02579095116166e+22
Rhizosphere	17	1.388847049622587e+24
Rhizosphere	18	4.791346969193155e+25
Rhizosphere	19	1.652954210143939e+27
Rhizosphere	20	5.702483327548821e+28
Rhizosphere	21	1.9672847500198471e+30
