Objective
=========
1.0 rxnBIOMASS = 89.91298702606164

Uptake
------
  Metabolite       Reaction      Flux  C-Number C-Flux
cpd00007[e0] EX_cpd00007_e0     107.4         0  0.00%
cpd00009[e0] EX_cpd00009_e0  0.001798         0  0.00%
cpd00030[e0] EX_cpd00030_e0 0.0008991         0  0.00%
cpd00034[e0] EX_cpd00034_e0 0.0008991         0  0.00%
cpd00039[e0] EX_cpd00039_e0     15.89         6  1.01%
cpd00051[e0] EX_cpd00051_e0     124.7         6  7.95%
cpd00060[e0] EX_cpd00060_e0     12.06         5  0.64%
cpd00063[e0] EX_cpd00063_e0 0.0008991         0  0.00%
cpd00067[e0] EX_cpd00067_e0      1000         0  0.00%
cpd00069[e0] EX_cpd00069_e0     11.36         9  1.09%
cpd00080[e0] EX_cpd00080_e0     54.15         3  1.73%
cpd00084[e0] EX_cpd00084_e0     115.5         3  3.68%
cpd00098[e0] EX_cpd00098_e0     14.12         5  0.75%
cpd00104[e0] EX_cpd00104_e0  0.001798        10  0.00%
cpd00129[e0] EX_cpd00129_e0      70.3         5  3.73%
cpd00149[e0] EX_cpd00149_e0  0.001798         0  0.00%
cpd00152[e0] EX_cpd00152_e0    0.0237         5  0.00%
cpd00155[e0] EX_cpd00155_e0     63.81        30 20.34%
cpd00156[e0] EX_cpd00156_e0     35.74         5  1.90%
cpd00182[e0] EX_cpd00182_e0     7.404        10  0.79%
cpd00184[e0] EX_cpd00184_e0     241.2        10 25.63%
cpd00205[e0] EX_cpd00205_e0 0.0008991         0  0.00%
cpd00209[e0] EX_cpd00209_e0     395.5         0  0.00%
cpd00254[e0] EX_cpd00254_e0 0.0008991         0  0.00%
cpd00264[e0] EX_cpd00264_e0  0.004742         7  0.00%
cpd00305[e0] EX_cpd00305_e0 0.0008991        12  0.00%
cpd00311[e0] EX_cpd00311_e0     10.16        10  1.08%
cpd00322[e0] EX_cpd00322_e0      27.2         6  1.73%
cpd00367[e0] EX_cpd00367_e0       119         9 11.38%
cpd00971[e0] EX_cpd00971_e0 0.0008991         0  0.00%
cpd01017[e0] EX_cpd01017_e0  0.002697         5  0.00%
cpd01217[e0] EX_cpd01217_e0     54.73        10  5.81%
cpd10515[e0] EX_cpd10515_e0  0.001798         0  0.00%
cpd10516[e0] EX_cpd10516_e0 0.0008991         0  0.00%
cpd11583[e0] EX_cpd11583_e0     50.57         9  4.83%
cpd11584[e0] EX_cpd11584_e0     10.46         9  1.00%
cpd15603[e0] EX_cpd15603_e0     49.43         5  2.63%
cpd15605[e0] EX_cpd15605_e0     19.58        11  2.29%
 cpdLPS3[c0] SOURCE_cpdLPS3    0.2835         7  0.02%

Secretion
---------
  Metabolite       Reaction       Flux  C-Number C-Flux
cpd00001[e0] EX_cpd00001_e0      -1000         0  0.00%
cpd00011[e0] EX_cpd00011_e0     -475.3         1  8.52%
cpd00013[e0] EX_cpd00013_e0     -175.4         0  0.00%
cpd00035[e0] EX_cpd00035_e0     -537.6         3 28.92%
cpd00036[e0] EX_cpd00036_e0     -164.4         4 11.79%
cpd00048[e0] EX_cpd00048_e0       -160         0  0.00%
cpd00064[e0] EX_cpd00064_e0     -87.98         5  7.89%
cpd00073[e0] EX_cpd00073_e0     -109.5         1  1.96%
cpd00075[e0] EX_cpd00075_e0     -395.5         0  0.00%
cpd00117[e0] EX_cpd00117_e0     -32.87         3  1.77%
cpd00151[e0] EX_cpd00151_e0     -130.2         5 11.68%
cpd11416[c0] EX_cpd11416_e0     -89.91         0  0.00%
cpd15302[c0] EX_cpd15302_c0     -63.81        24 27.47%
cpd00605[c0]  SINK_cpd00605 -0.0008991         4  0.00%
