Environment,Fraction,Growth_rate,N2_rate_mmol_gDW_h
Nodule,0.0,0.0,0.32975757964781643
Nodule,0.1,0.015567699701370244,0.30035514870213303
Nodule,0.2,0.031135399402740488,0.27095189668579267
Nodule,0.3,0.04670309910411073,0.24012457560456008
Nodule,0.4,0.062270798805480976,0.20903492614425506
Nodule,0.5,0.07783849850685122,0.1779452766839474
Nodule,0.6,0.09340619820822146,0.1468255634455087
Nodule,0.7,0.10897389790959171,0.11011917258412988
Nodule,0.8,0.12454159761096195,0.07341278172275471
Nodule,0.9,0.1401092973123322,0.03670639086137314
